rank#club 1#seasons#spells#played 2#drawn#lost#goals#points 3
1#spartak moscow#21#1#653#164#125#1242 - 673#1256
2#lokomotiv moscow#21#1#653#180#150#967 - 610#1149
3#cska moscow#21#1#653#160#164#1034 - 638#1147
4#dynamo moscow#21#1#652#187#192#921 - 745#1006
5#zenit saint petersburg#18#2#562#164#138#853 - 580#944
6#krylya sovetov samara#21#1#656#178#266#713 - 852#814
7#torpedo moscow#15#1#462#131#149#597 - 553#677
8#fc rostov#19#3#592#174#260#614 - 830#648
9#alania vladikavkaz#16#3#489#109#201#630 - 663#646
10#rotor volgograd#13#1#402#109#142#562 - 506#562
11#rubin kazan#10#1#314#88#83#432 - 298#517
12#saturn moscow oblast#12#1#360#121#119#396 - 378#481
13#fc moscow#9#1#270#83#95#295 - 311#359
14#shinnik yaroslavl#10#4#304#86#133#294 - 403#341
15#amkar perm#9#1#284#91#111#261 - 338#337
16#chernomorets novorossiysk#8#2#248#65#109#274 - 357#287
17#lokomotiv nizhny novgorod#8#2#248#63#117#233 - 356#267
18#anzhi makhachkala#6#2#194#55#69#222 - 223#262
19#tom tomsk#7#1#224#65#95#219 - 292#257
20#zhemchuzhina sochi#7#1#222#57#104#263 - 390#240
21#kuban krasnodar#6#4#194#65#77#198 - 257#221
22#spartak nalchik#6#1#194#57#83#207 - 239#219
23#terek grozny#6#2#194#44#91#192 - 276#215 4
24#ural sverdlovsk oblast#5#1#158#33#68#215 - 241#204
25#energia - tekstilshchik kamyshin#5#1#158#43#62#172 - 177#202
26#kamaz naberezhnye chelny#5#1#162#32#79#198 - 253#179 5
27#uralan elista#5#2#150#39#75#138 - 225#147
28#luch - energia vladivostok#4#2#124#32#58#116 - 187#134
29#baltika kaliningrad#3#1#98#37#31#114 - 111#127
30#fakel voronezh#4#3#124#29#64#101 - 175#122
31#dynamo stavropol#3#1#94#23#44#94 - 125#104
32#fc krasnodar#2#1#74#19#27#103 - 100#103
33#fc tyumen#5#3#154#26#103#116 - 326#101
34#okean nakhodka#2#1#64#14#28#65 - 83#80
35#fc khimki#3#1#90#23#50#86 - 151#74
36#volga nizhny novgorod#2#1#74#13#42#65 - 106#70
37#asmaral moscow#2#1#60#11#30#74 - 102#68
38#sokol saratov#2#1#60#13#30#55 - 87#64
39#lada togliatti#2#2#64#16#38#42 - 105#46
40#mordovia saransk#1#1#30#5#20#30 - 57#20
41#sibir novosibirsk#1#1#30#8#18#34 - 58#20
