ngc number#object type#constellation#right ascension ( j2000 )#declination ( j2000 )
5822#open cluster#lupus#15h04 m#°24′
5823#open cluster#circinus#15h05 m44.8 s#°37′30″
5824#globular cluster#lupus#15h03 m58.5 s#°04′04″
5825#elliptical galaxy#boötes#14h54 m31.5 s#°38′31″
5838#lenticular galaxy#virgo#15h05 m26.3 s#°05′57″
5846#elliptical galaxy#virgo#15h06 m29.4 s#°36′19″
5850#spiral galaxy#virgo#15h07 m07.8 s#°32′39″
5866#lenticular galaxy#draco#15h06 m29.5 s#°45′47″
5877#triple star#lupus#15h12 m53.1 s#°55′38″
5879#galaxy#draco#15h09 m46.8 s#°00′01″
5882#planetary nebula#libra#15h16 m49.9 s#°38′58″
5885#barred spiral galaxy#libra#15h15 m04.1 s#°05′10.0″
5886#elliptical galaxy#boötes#15h12 m45.4 s#°12′02″
5888#barred spiral galaxy#boötes#15h13 m07.4 s#°15′52″
5890#lenticular galaxy#libra#15h17 m51.1 s#°35′19″
