year#team#co - drivers#class#laps#pos#class pos
1983#canon racing gti engineering#jonathan palmer richard lloyd#c#339#8th#8th
1984#gti engineering#jonathan palmer#c1#239#dnf#dnf
1987#silk cut jaguar tom walkinshaw racing#eddie cheever raul boesel#c1#325#5th#5th
1988#silk cut jaguar tom walkinshaw racing#johnny dumfries andy wallace#c1#394#1st#1st
1989#silk cut jaguar tom walkinshaw racing#patrick tambay andrew gilbert - scott#c1#380#4th#4th
1990#silk cut jaguar tom walkinshaw racing#andy wallace franz konrad#c1#355#2nd#2nd
1992#toyota team tom 's#andy wallace teo fabi#c1#331#8th#5th
1993#toyota team tom 's#geoff lees juan manuel fangio ii#c1#353#8th#5th
1996#courage compétition#mario andretti derek warwick#lmp1#315#13th#3rd
1997#gt1 lotus racing#mike hezemans alexander grau#gt1#121#dnf#dnf
1998#nissan motorsports twr#érik comas andrea montermini#gt1#342#6th#6th
1999#konrad motorsport talkline racing for holland#peter kox tom coronel#lmp#213#dnf#dnf
2000#konrad motorsport racing for holland#tom coronel peter kox#lmp900#38#dnf#dnf
2001#racing for holland#donny crevels val hillebrand#lmp900#156#dnf#dnf
2002#racing for holland#tom coronel val hillebrand#lmp900#351#9th#8th
2003#racing for holland#john bosch andy wallace#lmp900#360#6th#4th
2004#racing for holland#chris dyson katsutomo kaneishi#lmp1#341#7th#6th
2005#racing for holland#elton julian john bosch#lmp1#346#7th#5th
2006#racing for holland#alex yoong stefan johansson#lmp1#182#dnf#dnf
2007#racing for holland#jeroen bleekemolen david hart#lmp1#305#25th#8th
2008#charouz racing system team cytosport#greg pickett klaus graf#lmp1#146#dnf#dnf
2011#hope racing#steve zacchia casper elgaard#lmp1#115#dnf#dnf
