goal#date#venue#score#result#competition
1#14 september 1958#zentral stadium , leipzig , east germany#1 - 1#3 - 2#friendly
2#2 november 1958#23 august stadium , bucharest , romania#2 - 0#3 - 0#1960 european nations' cup qual
3#8 november 1959#23 august stadium , bucharest , romania#1 - 0#1 - 0#1960 european nations' cup qual
4#8 october 1961#23 august stadium , bucharest , romania#3 - 0#4 - 0#friendly
5#8 october 1961#23 august stadium , bucharest , romania#4 - 0#4 - 0#friendly
6#25 november 1962#23 august stadium , bucharest , romania#3 - 1#3 - 1#1964 european nations' cup qual
7#23 december 1962#stade d'honneur , casablanca , morocco#0 - 1#3 - 1#friendly
8#23 june 1963#idrætsparken stadium , copenhagen , denmark#0 - 1#2 - 3#1964 summer olympics qual
9#27 april 1964#23 august stadium , bucharest , romania#1 - 0#4 - 1#friendly
10#3 may 1964#23 august stadium , bucharest , romania#1 - 0#2 - 1#friendly
11#3 may 1964#23 august stadium , bucharest , romania#2 - 0#2 - 1#friendly
12#22 october 1964#nagai stadium , osaka , japan#3 - 0#3 - 0#1964 summer olympics (5th place match)
