rider#manufacturer#laps#time#grid
casey stoner#ducati#27#40:56.643#1
valentino rossi#yamaha#27#+ 6.504#12
nicky hayden#honda#27#+ 7.205#3
jorge lorenzo#yamaha#27#+ 11.500#2
shinya nakano#honda#27#+ 11.914#9
james toseland#yamaha#27#+ 12.243#5
andrea dovizioso#honda#27#+ 12.780#8
colin edwards#yamaha#27#+ 25.920#7
randy de puniet#honda#27#+ 26.037#4
loris capirossi#suzuki#27#+ 26.799#11
toni elias#ducati#27#+ 27.027#13
anthony west#kawasaki#27#+ 47.808#18
john hopkins#kawasaki#27#+ 48.333#16
sylvain guintoli#ducati#27#+ 48.899#14
chris vermeulen#suzuki#27#+ 48.935#15
marco melandri#ducati#27#+ 1:11.767#17
alex de angelis#honda#0#accident#10
dani pedrosa#honda#0#accident#6
