year#average#high#sellouts#total for year#wnba game average
1997#8937 (4th)#14457#0#125114#9669
1998#7653 (9th)#11191#0#114801#10869
1999#7625 (10th)#13116#0#122000#10207
2000#6563 (14th)#11378#0#105005#9074
2001#9278 (4th)#11819#0#148446#9075
2002#11651 (3rd)#18542#0#186410#9228
2003#9290 (4th)#11320#0#157934#8800
2004#10369 (2nd)#18997#0#176269#8613
2005#8839 (5th)#17769#0#143211#8172
2006#8312 (5th)#12289#0#141312#7476
2007#8695 (3rd)#13092#0#147810#7742
2008#9429 (2nd)#13142#0#161369#7948
2009#10387 (2nd)#13865#0#176587#8039
2010#9468 (2nd)#14413#0#160951#7834
2011#10316 (2nd)#14266#0#175366#7954
2012#10089 (1st)#12639#0#171511#7452
