round#pick#overall#name#position#college
1#1#1#ernie davis#rb#syracuse
2#1#15#joe hernandez#wr#arizona
3#1#29#bob mitinger#lb#penn state
4#1#43#billy neighbors#g#alabama
7#1#85#bert coan#hb#kansas
8#1#99#ron hatcher#fb#michigan state
9#1#113#dave viti#e#boston university
10#1#127#john childress#g#arkansas
11#1#141#carl palazzo#ot#adams state
12#1#155#terry terrebonne#hb#tulane
13#1#169#bill whisler#e#iowa
14#1#183#jim costen#hb#south carolina
15#1#197#len velia#ot#georgia
16#1#211#tommy brooker#e#alabama
17#1#225#allen miller#lb#ohio
18#1#239#carl charon#db#michigan state
19#1#253#claude crabb#db#colorado
20#1#267#ed trancygier#qb#florida state
