poll source#dates administered#democrat : beverly perdue#republican : pat mccrory#libertarian : michael munger#lead margin
rasmussen reports#october 23 , 2008#47%#51%#not an option#4
survey usa#october 18–20 , 2008#43%#46%#7%#3
survey usa#october 5–6 , 2008#45%#46%#4%#1
rasmussen reports#september 30 , 2008#46%#50%#not an option#4
civitas institute / tel opinion research#september 17–20 , 2008#41%#43%#3%#2
public policy polling#september 17–19 , 2008#44%#43%#not an option#1
elon university#september 15–16 , 2008#35%#37%#not an option#2
research 2000 / daily kos#september 8–10 , 2008#42%#47%#not an option#5
civitas institute / tel opinion research#september 6–10 , 2008#40%#39%#not an option#1
survey usa#september 6–8 , 2008#41%#49%#5%#8
garin hart yang#september 5–7 , 2008#46%#40%#not an option#6
democracy corps / greenberg quinlan rosner#august 20–26 , 2008#46%#46%#not an option#0
public policy polling#august 20–23 , 2008#43%#38%#4%#5
survey usa#august 9–11 , 2008#47%#44%#5%#2
public policy polling#july 23–27 , 2008#46%#37%#6%#9
civitas institute / tel opinion research#july 14–16 , 2008#43%#40%#2%#3
survey usa#july 12–14 , 2008#47%#46%#3%#1
public policy polling#june 26–29 , 2008#42%#41%#5%#1
civitas institute / tel opinion research#june 11–13 , 2008#43%#41%#2%#2
rasmussen reports#june 10 , 2008#47%#46%#not an option#1
public policy polling#may 28–29 , 2008#43%#39%#4%#4
survey usa#may 17–19 , 2008#52%#45%#not an option#7
civitas institute / tel opinion research#may 14–17 , 2008#43%#42%#not an option#1
public policy polling#may 8–9 , 2008#45%#45%#not an option#0
rasmussen reports#may 8 , 2008#39%#45%#4%#6
rasmussen reports#march 20 , 2008#45%#42%#not an option#3
rasmussen reports#february 26 , 2008#44%#38%#not an option#6
public policy polling#february 26 , 2008#41%#41%#not an option#0
rasmussen reports#january 28 , 2008#42%#38%#not an option#4
public policy polling#january 21 , 2008#41%#39%#not an option#2
rasmussen reports#december 19 , 2007#39%#42%#not an option#3
public policy polling#december 12 , 2007#41%#39%#not an option#2
institute / tel opinion research#november 12 , 2007#36%#39%#not an option#3
