medal#name#games#sport#event
gold#abebe bikila#1960 rome#athletics#men 's marathon
gold#abebe bikila#1964 tokyo#athletics#men 's marathon
gold#mamo wolde#1968 mexico city#athletics#men 's marathon
silver#mamo wolde#1968 mexico city#athletics#men 's 10000 m
bronze#mamo wolde#1972 munich#athletics#men 's marathon
bronze#miruts yifter#1972 munich#athletics#men 's 10000 m
gold#miruts yifter#1980 moscow#athletics#men 's 5000 m
gold#miruts yifter#1980 moscow#athletics#men 's 10000 m
bronze#mohamed kedir#1980 moscow#athletics#men 's 10000 m
bronze#eshetu tura#1980 moscow#athletics#men 's 3000 m steeplechase
gold#derartu tulu#1992 barcelona#athletics#women 's 10000 m
bronze#addis abebe#1992 barcelona#athletics#men 's 10000 m
bronze#fita bayisa#1992 barcelona#athletics#men 's 5000 m
gold#haile gebrselassie#1996 atlanta#athletics#men 's 10000 m (or)
gold#fatuma roba#1996 atlanta#athletics#women 's marathon
bronze#gete wami#1996 atlanta#athletics#women 's 10000 m
gold#gezahegne abera#2000 sydney#athletics#men 's marathon
gold#haile gebrselassie#2000 sydney#athletics#men 's 10000 m
gold#derartu tulu#2000 sydney#athletics#women 's 10000 m (or)
gold#million wolde#2000 sydney#athletics#men 's 5000 m
silver#gete wami#2000 sydney#athletics#women 's 10000 m
bronze#assefa mezgebu#2000 sydney#athletics#men 's 10000 m
bronze#tesfaye tola#2000 sydney#athletics#men 's marathon
bronze#gete wami#2000 sydney#athletics#women 's 5000 m
gold#kenenisa bekele#2004 athens#athletics#men 's 10000 m (or)
gold#meseret defar#2004 athens#athletics#women 's 5000 m
silver#kenenisa bekele#2004 athens#athletics#men 's 5000 m
silver#ejegayehu dibaba#2004 athens#athletics#women 's 10000 m
silver#sileshi sihine#2004 athens#athletics#men 's 10000 m
bronze#tirunesh dibaba#2004 athens#athletics#women 's 5000 m
bronze#derartu tulu#2004 athens#athletics#women 's 10000 m
gold#kenenisa bekele#2008 beijing#athletics#men 's 10000 m (or)
gold#kenenisa bekele#2008 beijing#athletics#men 's 5000 m (or)
gold#tirunesh dibaba#2008 beijing#athletics#women 's 10000 m (or)
gold#tirunesh dibaba#2008 beijing#athletics#women 's 5000 m
silver#sileshi sihine#2008 beijing#athletics#men 's 10000 m
bronze#meseret defar#2008 beijing#athletics#women 's 5000 m
bronze#tsegay kebede#2008 beijing#athletics#men 's marathon
gold#meseret defar#2012 london#athletics#women 's 5000 m
gold#tirunesh dibaba#2012 london#athletics#women 's 10000 m
gold#tiki gelana#2012 london#athletics#women 's marathon (or)
silver#dejen gebremeskel#2012 london#athletics#men 's 5000 m
bronze#sofia assefa#2012 london#athletics#women 's 3000 m steeplechase
bronze#tariku bekele#2012 london#athletics#men 's 10000 m
bronze#tirunesh dibaba#2012 london#athletics#women 's 5000 m
