rank#name#years#goals#apps
1#silvio piola#1929 - 1954#274#537
2#francesco totti#1992 -#230#543
3#gunnar nordahl#1948 - 1958#225#291
4#giuseppe meazza#1929 - 1947#216#367
4#josé altafini#1958 - 1976#216#459
6#roberto baggio#1985 - 2004#205#452
7#kurt hamrin#1956 - 1971#190#400
8#giuseppe signori#1991 - 2004#188#344
8#alessandro del piero#1993 - 2012#188#478
10#gabriel batistuta#1991 - 2003#184#318
11#antonio di natale#2002 -#180#368
12#giampiero boniperti#1946 - 1961#178#443
13#amedeo amadei#1936 - 1956#174#423
14#giuseppe savoldi#1965 - 1982#168#405
15#guglielmo gabetto#1934 - 1949#167#322
16#alberto gilardino#1999 -#164#425
17#roberto boninsegna#1965 - 1979#163#366
18#luigi riva#1964 - 1976#156#289
18#filippo inzaghi#1995 - 2012#156#370
18#roberto mancini#1981 - 2000#156#541
21#luís vinício#1955 - 1968#155#348
21#carlo reguzzoni#1929 - 1948#155#401
23#istván nyers#1948 - 1956#153#236
23#hernán crespo#1996 - 2012#153#340
25#adriano bassetto#1946 - 1958#149#329
26#omar sívori#1957 - 1969#147#278
27#christian vieri#1991 - 2009#142#264
27#benito lorenzi#1947 - 1959#142#330
27#marco di vaio#1994 - 2012#142#342
27#paolo pulici#1967 - 1985#142#401
