name#volume#engine#fuel#output#torque#engine id code (s)#0–100km / h , s#top speed#co 2#years
1.4 16v#1390 cc#4cyl#petrol#ps (kw; hp) @ 5000 rpm#n·m (lb·ft) @ 3300 rpm#ahw / axp / bca#15.6#km / h (mph)#163 g / km#1999–2006
1.6 8v#1595 cc#4cyl#petrol#ps (kw; hp) @ 5600 rpm#n·m (lb·ft) @ 3800 rpm#aeh / akl / apf#11.9#km / h (mph)#180 g / km#1999–2000
1.6 8v#1595 cc#4cyl#petrol#ps (kw; hp) @ 5600 rpm#n·m (lb·ft) @ 3800 rpm#avu / bfq#12.1#km / h (mph)#170 g / km#2000–2006
1.6 16v#1598 cc#4cyl#petrol#ps (kw; hp) @ 5700 rpm#n·m (lb·ft) @ 4500 rpm#aus / azd / atn / bcb#11.9#km / h (mph)#168 g / km#2000–2006
1.6 16v fsi#1598 cc#4cyl#petrol#ps (kw; hp) @ 5800 rpm#n·m (lb·ft) @ 4400 rpm#bad#11.7#km / h (mph)#151 g / km#2001–2006
1.8 20v turbo#1781 cc#4cyl#petrol#ps (kw; hp) @ 5700 rpm#n·m (lb·ft) @ 1750–4600 rpm#aum#9.2#km / h (mph)#190 g / km#2000–2006
2.0 8v#1984 cc#4cyl#petrol#ps (kw; hp) @ 5200 rpm#n·m (lb·ft) @ 2400 rpm#apk / aqy#11.4#km / h (mph)#192 g / km#1999–2001
2.0 8v [1]#1984 cc#4cyl#petrol#ps (kw; hp) @ 5400 rpm#n·m (lb·ft) @ 3200 rpm#azg / azj / azh#11.4#km / h (mph)#192 g / km#2001–2006
2.3 10v [1]#2324 cc#vr5#petrol#ps (kw; hp) @ 6000 rpm#n·m (lb·ft) @ 3200 rpm#agz#9.4#km / h (mph)#226 g / km#1999–2000
2.3 20v [1]#2324 cc#vr5#petrol#ps (kw; hp) @ 6200 rpm#n·m (lb·ft) @ 3300 rpm#aqn#8.2#km / h (mph)#209 g / km#2000–2003
2.8 24v [1]#2792 cc#vr6#petrol#ps (kw; hp) @ 6000 rpm#n·m (lb·ft) @ 3200 rpm#aqp / aue / bde#7.6#km / h (mph)#264 g / km#1999–2003
1.9 8v sdi#1896 cc#4cyl#diesel#ps (kw; hp) @ 4200 rpm#n·m (lb·ft) @ 2200–2600 rpm#agp / aqm#18.7#km / h (mph)#140 g / km#1999–2006
1.9 8v tdi#1896 cc#4cyl#diesel#ps (kw; hp) @ 3750 rpm#n·m (lb·ft) @ 1900 rpm#agr / alh#13.2#km / h (mph)#135 g / km#1999–2001
1.9 8v tdi#1896 cc#4cyl#diesel#ps (kw; hp) @ 4000 rpm#n·m (lb·ft) @ 1900 rpm#ahf / asv#11.3#km / h (mph)#135 g / km#1999–2001
1.9 8v td i pd [1]#1896 cc#4cyl#diesel#ps (kw; hp) @ 4000 rpm#n·m (lb·ft) @ 1800–2400 rpm#atd / axr#12.7#km / h (mph)#140 g / km#2000–2006
1.9 8v t di pd#1896 cc#4cyl#diesel#ps (kw; hp) @ 4000 rpm#n·m (lb·ft) @ 1900 rpm#ajm#11.1#km / h (mph)#143 g / km#1999–2001
1.9 8v t di pd [1]#1896 cc#4cyl#diesel#ps (kw; hp) @ 4000 rpm#n·m (lb·ft) @ 1900 rpm#auy#11.1#km / h (mph)#143 g / km#2000–2002
1.9 8v t di pd [1]#1896 cc#4cyl#diesel#ps (kw; hp) @ 4000 rpm#n·m (lb·ft) @ 1900 rpm#asz#10.5#km / h (mph)#146 g / km#2001–2006
1.9 8v tdi pd [1]#1896 cc#4cyl#diesel#ps (kw; hp) @ 4000 rpm#n·m (lb·ft) @ 1900 rpm#arl#9.5#km / h (mph)#149 g / km#2000–2004
