club#played#won#drawn#lost#points for#points against#tries for#points
club#played#won#drawn#lost#points for#points against#tries for#points
beddau rfc#22#19#0#3#654#321#85#57
bargoed rfc#22#17#0#5#665#436#89#51
newbridge rfc#22#17#0#5#516#281#63#51
pontypool rfc#22#15#0#7#515#370#59#45
fleur de lys rfc#22#10#0#12#422#523#49#30
uwic rfc#22#9#1#12#625#604#74#28
newport saracens rfc#22#9#1#12#368#457#46#28
llanharan rfc#22#9#0#13#546#565#66#27
caerphilly rfc#22#9#0#14#402#572#47#24
blackwood rfc#22#6#1#15#433#511#51#19
abercynon rfc#22#5#2#15#365#718#45#17
ystrad rhondda rfc#22#5#1#16#417#570#47#16
