year#men 's singles#women 's singles#men 's doubles#women 's doubles#mixed doubles
1960#pál rázsó#endrene komjatszegi#no competition#no competition#no competition
1961#györgy rázsó#no competition#no competition#no competition#no competition
1962#pál rázsó#no competition#no competition#no competition#no competition
1963#józsef szepesi#éva szűcs#pál rázsó györgy rázsó#lídia horváth istvánné marincsák#pál rázsó vera juhász
1964#pál rázsó#éva ráduly#pál rázsó györgy rázsó#éva szűcs éva schmitt#györgy rázsó györgyné rázsó
1965#györgy rázsó#katalin jászonyi#pál rázsó györgy rázsó#katalin jászonyi irén geblusek#ferenc jászonyi katalin jászonyi
1966#jános cserni#katalin jászonyi#jános cserni zsolt vajna#katalin jászonyi renáta doba#jános cserni katalin jászonyi
1967#jános cserni#katalin jászonyi#jános cserni ferenc jaszonyi#katalin jászonyi erzsébet wolf#jános cserni katalin jászonyi
1968#jános cserni#katalin jászonyi#jános cserni tamás szulyovszky#katalin jászonyi éva cserni#jános cserni eleonóra gedô
1969#jános cserni#éva cserni#andrás édes péter majerszky#éva cserni erzsébet wolf#tamás szulyovszky valéria virágos
1970#jános cserni#éva cserni#jános cserni tamás szulyovszky#valéria virágos erzsébet andrekovics#jános cserni éva cserni
1971#jános cserni#éva cserni#tamás szulyovszky ferenc rolek#gertrúd ladányi erzsébet wolf#andrás édes erzsébet wolf
1972#jános cserni#éva cserni#andrás édes józsef papp#gertrúd ladányi erzsébet wolf#andrás édes erzsébet wolf
1973#jános cserni#éva cserni#jános cserni lászló rammer#éva cserni valéria virágos#jános cserni éva cserni
1974#jános cserni#éva cserni#jános cserni lászló rammer#éva cserni valéria virágos#jános cserni éva cserni
1975#istván englert#erzsébet németh#jános cserni lászló rammer#erzsébet németh ildikó szabó#jános cserni éva cserni
1976#imre bereknyei#éva cserni#istván englert józsef papp#erzsébet németh ildikó szabó#jános cserni éva cserni
1977#imre bereknyei#éva cserni#istván englert józsef papp#éva cserni éva pozsik#jános cserni éva cserni
1978#imre bereknyei#ildikó bödecs#istván englert józsef papp#zsuzsa gláser andrea legerszki#józsef papp éva pozsik
