res#record#opponent#method#event#round#time#location
loss#16 - 9 - 2#rory macdonald#decision (unanimous)#ufc on fox 5#3#5:00#seattle , washington , united states
loss#16 - 8 - 2#nick diaz#decision (unanimous)#ufc 137#3#5:00#las vegas , nevada , united states
draw#16 - 7 - 2#jon fitch#draw (majority)#ufc 127#3#5:00#sydney , new south wales , australia
win#16 - 7 - 1#matt hughes#ko (punches)#ufc 123#1#0:21#auburn hills , michigan , united states
loss#15 - 7 - 1#frankie edgar#decision (unanimous)#ufc 118#5#5:00#boston , massachusetts , united states
loss#15 - 6 - 1#frankie edgar#decision (unanimous)#ufc 112#5#5:00#yas island , abu dhabi , united arab emirates
win#15 - 5 - 1#diego sanchez#tko (doctor stoppage)#ufc 107#5#2:37#memphis , tennessee , united states
win#14 - 5 - 1#kenny florian#submission (rear naked choke)#ufc 101#4#3:54#philadelphia , pennsylvania , united states
loss#13 - 5 - 1#georges st - pierre#tko (corner stoppage)#ufc 94#4#5:00#las vegas , nevada , united states
win#13 - 4 - 1#sean sherk#tko (flying knee and punches)#ufc 84#3#5:00#las vegas , nevada , united states
win#12 - 4 - 1#joe stevenson#submission (rear naked choke)#ufc 80#2#4:02#newcastle upon tyne , united kingdom
win#11 - 4 - 1#jens pulver#submission (rear naked choke)#the ultimate fighter 5 finale#2#3:12#las vegas , nevada , united states
loss#10 - 4 - 1#matt hughes#tko (punches)#ufc 63#3#3:53#anaheim , california , united states
loss#10 - 3 - 1#georges st - pierre#decision (split)#ufc 58#3#5:00#las vegas , nevada , united states
win#10 - 2 - 1#renzo gracie#decision (unanimous)#k - 1: world grand prix hawaii#3#5:00#honolulu , hawaii , united states
loss#9 - 2 - 1#lyoto machida#decision (unanimous)#k - 1: hero 's 1#3#5:00#saitama , saitama , japan
win#9 - 1 - 1#rodrigo gracie#decision (unanimous)#k - 1 rumble on the rock 6#3#5:00#honolulu , hawaii , united states
win#8 - 1 - 1#duane ludwig#submission (arm triangle choke)#k - 1 mma : romanex#1#1:45#saitama , saitama , japan
win#7 - 1 - 1#matt hughes#submission (rear naked choke)#ufc 46#1#4:39#las vegas , nevada , united states
win#6 - 1 - 1#takanori gomi#submission (rear naked choke)#k - 1 rumble on the rock 4#3#2:35#honolulu , hawaii , united states
draw#5 - 1 - 1#caol uno#draw (split)#ufc 41#5#5:00#atlantic city , new jersey , united states
win#5 - 1#matt serra#decision (unanimous)#ufc 39#3#5:00#uncasville , connecticut , united states
win#4 - 1#paul creighton#tko (punches)#ufc 37#2#3:23#bossier city , louisiana , united states
loss#3 - 1#jens pulver#decision (majority)#ufc 35#5#5:00#uncasville , connecticut , united states
win#3 - 0#caol uno#ko (punches)#ufc 34#1#0:11#las vegas , nevada , united states
win#2 - 0#din thomas#tko (knee and punches)#ufc 32#1#2:42#east rutherford , new jersey , united states
win#1 - 0#joey gilbert#tko (punches)#ufc 31#1#4:57#atlantic city , new jersey , united states
