round#pick#overall#name#position#college
1#15#15#clarence ellis#safety#notre dame
2#14#40#pat sullivan#quarterback#auburn
2#15#41#steve okoniewski#offensive tackle#montana
2#16#42#roosevelt manning#defensive tackle#northeastern state normal school (ok)
3#15#67#les goodman#running back#yankton
4#16#94#andrew howard#defensive tackle#grambling
5#5#109#billy taylor#running back#michigan
5#15#119#ralph cindrich#linebacker#pittsburgh
6#10#140#mike perfetti#defensive back#minnesota
6#16#146#fred riley#wide receiver#idaho
7#15#171#lance moon#running back#wisconsin
8#16#198#henry brandon#running back#southern
9#15#223#ray easterling#safety#richmond
11#15#275#jack phillips#wide receiver#grambling
12#16#302#larry mialik#tight end#wisconsin
13#15#327#henry sovio#tight end#hawaii
14#16#354#tom chandler#linebacker#minnesota
15#15#379#oscar jenkins#defensive back#virginia union
16#16#406#larry butler#linebacker#stanford
