member#party#electorate#state#term of office
hon charles adermann#country#fisher#qld#1943–1972
ian allan#country#gwydir#nsw#1953–1969
doug anthony#country#richmond#nsw#1957–1984
john armitage#labor#mitchell#nsw#1961–1963 , 1969–1983
lance barnard#labor#bass#tas#1954–1975
charles barnes#country#mcpherson#qld#1958–1972
sir garfield barwick#liberal#parramatta#nsw#1958–1964
jeff bate#liberal#macarthur#nsw#1949–1972
noel beaton#labor#bendigo#vic#1960–1969
kim beazley#labor#fremantle#wa#1945–1977
sam benson #labor#batman#vic#1962–1969
alan bird #labor#batman#vic#1949–1962
wilfred brimblecombe#country#maranoa#qld#1951–1966
gordon bryant#labor#wills#vic#1955–1980
alexander buchanan#liberal#mcmillan#vic#1955–1972
leslie bury#liberal#wentworth#nsw#1956–1974
dr jim cairns#labor#yarra#vic#1955–1977
hon arthur calwell#labor#melbourne#vic#1940–1972
clyde cameron#labor#hindmarsh#sa#1949–1980
donald james cameron#labor#lilley#qld#1961–1963
fred chaney#liberal#perth#wa#1955–1969
don chipp#liberal#higinbotham#vic#1960–1977
joe clark#labor#darling#nsw#1934–1969
lionel clay#labor#st george#nsw#1958–1963
richard cleaver#liberal#swan#wa#1955–1969
john cockle#liberal#warringah#nsw#1961–1966
fred collard#labor#kalgoorlie#wa#1961–1975
jack comber#labor#bowman#qld#1961–1963
jim cope#labor#watson#nsw#1955–1975
dominic costa#labor#banks#nsw#1949–1969
frank courtnay#labor#darebin#vic#1958–1969
wilfred coutts#labor#griffith#qld#1954–1958 , 1961–1966
hon john cramer#liberal#bennelong#nsw#1949–1974
frank crean#labor#melbourne ports#vic#1951–1977
manfred cross#labor#brisbane#qld#1961–1975 , 1980–1990
dan curtin#labor#kingsford - smith#nsw#1949–1969
fred daly#labor#grayndler#nsw#1943–1975
hon charles davidson#country#dawson#qld#1946–1963
ron davies#labor#braddon#tas#1958–1975
frank davis#liberal#deakin#vic#1949–1966
roger dean#liberal#robertson#nsw#1949–1964
leonard devine #labor#east sydney#nsw#1963–1969
hon alec downer#liberal#angas#sa#1949–1964
hon david drummond#country#new england#nsw#1949–1963
nigel drury#liberal#ryan#qld#1949–1975
gil duthie#labor#wilmot#tas#1946–1975
syd einfeld#labor#phillip#nsw#1961–1963
john england#country#calare#nsw#1960–1975
dudley erwin#liberal#ballaarat#vic#1955–1975
laurie failes#country#lawson#nsw#1949–1969
david fairbairn#liberal#farrer#nsw#1949–1975
hon allen fairhall#liberal#paterson#nsw#1949–1969
bill falkinder#liberal#franklin#tas#1946–1966
dr jim forbes#liberal#barker#sa#1956–1975
max fox#liberal#henty#vic#1955–1974
allan fraser#labor#eden - monaro#nsw#1943–1966 , 1969–1972
james fraser #labor#australian capital territory#act#1951–1970
malcolm fraser#liberal#wannon#vic#1955–1983
gordon freeth#liberal#forrest#wa#1949–1969
arthur fuller#labor#hume#nsw#1943–1949 , 1951–1955 , 1961–1963
bill fulton#labor#leichhardt#qld#1958–1975
pat galvin#labor#kingston#sa#1951–1966
george gray#labor#capricornia#qld#1961–1967
charles griffiths#labor#shortland#nsw#1949–1972
brendan hansen#labor#wide bay#qld#1961–1974
ted harding#labor#herbert#qld#1961–1966
jim harrison#labor#blaxland#nsw#1949–1969
hon paul hasluck#liberal#curtin#wa#1949–1969
william haworth#liberal#isaacs#vic#1949–1969
bill hayden#labor#oxley#qld#1961–1988
leslie haylen#labor#parkes#nsw#1943–1963
rt hon harold holt#liberal#higgins#vic#1935–1967
mac holten#country#indi#vic#1958–1977
peter howson#liberal#fawkner#vic#1955–1972
william jack#liberal#north sydney#nsw#1949–1966
bert james#labor#hunter#nsw#1960–1980
john jess#liberal#la trobe#vic#1960–1972
les johnson#labor#hughes#nsw#1955–1966 , 1969–1984
charles jones#labor#newcastle#nsw#1958–1983
victor kearney#labor#cunningham#nsw#1956–1963
bert kelly#liberal#wakefield#sa#1958–1977
hon wilfrid kent hughes#liberal#chisholm#vic#1949–1970
jim killen#liberal#moreton#qld#1955–1983
bob king#country#wimmera#vic#1958–1977
hugh leslie#country#moore#wa#1949–1958 , 1961–1963
robert lindsay#liberal#flinders#vic#1954–1966
tony luchetti#labor#macquarie#nsw#1951–1975
philip lucock#country#lyne#nsw#1953–1980
rt hon john mcewen#country#murray#vic#1934–1971
frank mcguren#labor#cowper#nsw#1961–1963
hector mcivor#labor#gellibrand#vic#1955–1972
dan mackinnon#liberal#corangamite#vic#1949–1951 , 1953–1966
hon john mcleay#liberal#boothby#sa#1949–1966
hon william mcmahon#liberal#lowe#nsw#1949–1982
neil mcneill#liberal#canning#wa#1961–1963
hon norman makin#labor#bonython#sa#1919–1946 , 1954–1963
rt hon robert menzies#liberal#kooyong#vic#1934–1966
dan minogue#labor#west sydney#nsw#1949–1969
james monaghan#labor#evans#nsw#1961–1963
jack mortimer #labor#grey#sa#1963–1966
jock nelson #labor#northern territory#nt#1949–1966
peter nixon#country#gippsland#vic#1961–1983
reginald o'brien#labor#petrie#qld#1961–1963
william o'connor#labor#dalley#nsw#1946–1969
hubert opperman#liberal#corio#vic#1949–1967
ted peters#labor#scullin#vic#1949–1969
hon reg pollard#labor#lalor#vic#1937–1966
leonard reynolds#labor#barton#nsw#1958–1966 , 1969–1975
hon bill riordan#labor#kennedy#qld#1936–1966
hon hugh roberton#country#riverina#nsw#1949–1965
edgar russell #labor#grey#sa#1943–1963
joe sexton#labor#adelaide#sa#1958–1966
billy snedden#liberal#bruce#vic#1955–1983
frank stewart#labor#lang#nsw#1953–1979
philip stokes#liberal#maribyrnong#vic#1955–1969
reginald swartz#liberal#darling downs#qld#1949–1972
albert thompson#labor#port adelaide#sa#1946–1963
hon athol townley#liberal#denison#tas#1949–1964
winton turnbull#country#mallee#vic#1946–1972
harry turner#liberal#bradfield#nsw#1952–1974
tom uren#labor#reid#nsw#1958–1990
hon eddie ward #labor#east sydney#nsw#1931 , 1932–1963
harry webb#labor#stirling#wa#1954–1958 , 1961–1972
william wentworth#liberal#mackellar#nsw#1949–1977
gough whitlam#labor#werriwa#nsw#1952–1978
ray whittorn#liberal#balaclava#vic#1960–1974
keith wilson#liberal#sturt#sa#1949–1954 , 1955–1966
