year#men 's singles#women 's singles#men 's doubles#women 's doubles#mixed doubles
1956#jose da silva#lezita chaves#jose da silva anibal rebelo#no competition#jose da silva guida de freitas
1957#jose da silva#lezita chaves#alberte fernandes ramiro correia#alzira de sousa josefina praca dos santos#alberto fernandes lezita chaves
1958#joaquim pereira#lezita chaves#ramiro cirreia vitor pinto aves#no competition#orlando coelmo lezita chaves
1959#ramiro correia#lezita chaves#ramiro correia jorge gomez#no competition#ramiro correia isabel cabral
1960#ramiro correia#isabel cabral#ramiro correia jorge gomez#no competition#orlando correia lezita chaves
1961#no competition#no competition#ramiro correia jorge gomez#no competition#no competition
1962#no competition#no competition#ramiro correia alegre santos#no competition#jorge gomez isabel cabral
1963#alegre santos#isabel cabral#rui damasio mario mateus#emilia carneiro maria jose guimaraes#jose azevedo isabel rocha
1964#alegre santos#isabel rocha#fernando pinto vitor pinto alves#no competition#alegre santos isabel rocha
1965#alegre santos#no competition#rui damasio mario mateus#isabel pinto isabel rocha#fernando pinto peggy brixhe
1966#jose novais#isabel rocha#fernando pinto vitor da costa#conceicao felizardo isabel rocha#alegre santos isabel rocha
1967#alegre santos#isabel rocha#jose bento marques costa#conceicao felizardo isabel rocha#jose azevedo isabel rocha
1968#jose bento#peggy brixhe#rui damasio jose azevedo#peggy brixhe isabel salema#jose azevedo isabel rocha
1969#jose bento#peggy brixhe#alegre dos santos monge dias#no competition#jose azevedo isabel rocha
1970#jose bento#isabel rocha#jose bento marques costa#no competition#jose bento isabel rocha
1971#no data#no data#jose bento marques costa#peggy brixhe lavinia pais#pinto alves peggy brixhe
1972#jose bento#peggy brixhe#jose bento marques costa#isabel rocha isabel pinto#jose bento isabel rocha
1973#jose bento#isabel rocha#jose bento marques costa#isabel rocha isabel pinto#jose bento isabel rocha
1974#jose bento#isabel rocha#jose bento marques costa#margarida cruz isabel cruz#jose bento isabel rocha
1975#jose bento#isabel rocha#francisco lemos guilherme trindade#margarida cruz isabel cruz#jose bento isabel rocha
1976#luis quinaz#isabel rocha#jose bento marques costa#isabel rocha ana margarida#guilherme trindade isabel rocha
1977#joso braz#isabel rocha#jose bento cristiano dias#helena sousa serafina brandao#jorge cruz ana monteiro
1978#antonio monge#dias anna monteiro#jose bento jorge cruz#margarida cruz isabel cruz#jorge nogueira teresa lesl
1979#jose bento#anna monteiro#jose bento jorge cruz#ana monteiro isabel rocha#jose pessoa isabel rocha
1980#jose pessoa#margarida cruz#jose bento marques da costa#ana monteiro isabel rocha#jose bento ana monteiro
1981#antonio crespo#margarida cruz#antonio crespo jorge cruz#margerida cruz isabel crespo#jose bento ana monteiro
1982#josé pedro#margarida cruz#diamantino pereira jorge azevedo#ana monteiro catarina batista#jorge cruz margarida cruz
1983#antonio crespo#margarida cruz#diamantino pereira jorge azevedo#ana monteiro catarina batista#jorge cruz margarida cruz
1984#jorge azevedo#ana monteiro#diamantino pereira jorge azevedo#ana monteiro catarina batista#jose brandao rosaria cavaco
1985#jose brandao#rosario cavaco#paulo raimundo carlos teixeira#rosario cavaco margarida cruz#jose nascimento paula sousa
