ngc number#object type#constellation#right ascension ( j2000 )#declination ( j2000 )
3109#irregular galaxy#hydra#10h03m06.7s#°09′32″
3110#spiral galaxy#leo#10h04m01.9s#°28′29″
3115#lenticular galaxy#sextans#10h05m13.8s#°43′08″
3122#spiral galaxy#leo#10h04m01.9s#°28′29″
3132#planetary nebula#vela#10h07m01.8s#°26′11″
3169#spiral galaxy#sextans#10h14m14.7s#°28′01″
3180#diffuse nebula#ursa major#10h18m17.0s#°25′26″
3181#diffuse nebula#ursa major#10h18m11.5s#°24′46″
3182#spiral galaxy#ursa major#10h19m33.3s#°12′20″
3183#spiral galaxy#draco#10h21m48.9s#°10′40″
3184#spiral galaxy#ursa major#10h18m17.0s#°25′26″
3185#spiral galaxy#leo#10h17m38.7s#°41′17″
3186#galaxy#leo#10h17m38.0s#°58′16″
3187#spiral galaxy#leo#10h17m47.9s#°52′24″
3188#spiral galaxy#ursa major#10h19m42.8s#°25′25″
3189#spiral galaxy#leo#10h18m05.6s#°49′52″
3190#spiral galaxy#leo#10h18m05.6s#°49′52″
3191#spiral galaxy#ursa major#10h19m05.2s#°27′17″
3192#spiral galaxy#ursa major#10h18m58.4s#°27′16″
3193#elliptical galaxy#leo#10h18m25.0s#°53′37″
3194#spiral galaxy#draco#10h17m40.2s#°20′50″
3195#planetary nebula#chamaeleon#10h09m20.9s#°51′31″
3196#galaxy#leo#10h18m49.0s#°40′08″
3197#spiral galaxy#draco#10h14m28.2s#°49′12″
3198#spiral galaxy#ursa major#10h19m54.8s#°33′01″
3199#diffuse nebula#carina#10h16m32.8s#°56′02″
3200#spiral galaxy#hydra#10h18m36.4s#°58′57″
