period#live births per year#deaths per year#natural change per year#cbr#cdr#nc#tfr#imr#life expectancy total#life expectancy males#life expectancy females
1950 - 1955#10 000#3 000#7 000#48.0#14.9#33.1#6.56#89#56.0#54.4#57.7
1955 - 1960#12 000#3 000#9 000#46.0#12.4#33.6#6.56#76#58.7#57.0#60.5
1960 - 1965#14 000#3 000#11 000#44.8#10.6#34.2#6.56#64#60.5#58.7#62.5
1965 - 1970#14 000#3 000#11 000#39.7#9.0#30.6#5.95#55#62.4#60.5#64.5
1970 - 1975#13 000#3 000#10 000#34.9#8.3#26.6#5.29#49#64.0#61.7#66.5
1975 - 1980#11 000#3 000#8 000#30.2#7.4#22.8#4.20#44#65.1#62.8#67.7
1980 - 1985#11 000#3 000#8 000#30.0#7.3#22.7#3.70#42#66.5#63.6#69.8
1985 - 1990#10 000#3 000#7 000#25.4#7.2#18.2#3.00#39#67.1#64.0#70.7
1990 - 1995#9 000#3 000#6 000#22.5#7.1#15.4#2.60#34#67.6#64.4#71.1
1995 - 2000#11 000#3 000#8 000#23.6#7.4#16.2#2.80#29#67.8#64.6#71.4
2000 - 2005#10 000#4 000#6 000#21.0#7.6#13.4#2.60#24#68.1#64.8#71.7
