outcome#date#tournament#surface#opponent#score
runner - up#14 may 2006#edinburgh , united kingdom#clay#mari andersson#6 - 0 , 1 - 6 , 3 - 6
winner#20 august 2006#koksijde , belgium#clay#kristina steiert#6 - 4 , 6 - 1
winner#19 november 2006#florianópolis , brazil#clay#estefania craciún#6 - 1 , 6 - 0
winner#26 november 2006#córdoba , argentina#clay#teliana pereira#6 - 1 , 6 - 7 (4 - 7) , 6 - 0
runner - up#15 april 2007#torhout , belgium#hard#claire feuerstein#4 - 6 , 4 - 6
winner#29 july 2007#les contamines , france#hard#julie coin#6 - 2 , 7 - 6 (7 - 3)
winner#28 october 2007#hamanako , japan#carpet#junri namigata#4 - 6 , 6 - 4 , 6 - 2
runner - up#4 november 2007#taoyuan city , taiwan#hard#akiko morigami#4 - 6 , 6 - 7 (5 - 7)
winner#11 november 2007#taizhou , china#hard#han xinyun#6 - 2 , 6 - 2
winner#18 november 2007#kunming , china#hard#urszula radwańska#7 - 5 , 6 - 4
runner - up#15 march 2008#new delhi , india#hard#ekaterina dzehalevich#6 - 2 , 3 - 6 , 2 - 6
runner - up#13 april 2008#monzón , spain#hard#petra kvitová#6 - 2 , 4 - 6 , 5 - 7
winner#11 may 2008#indian harbour beach , usa#clay#bethanie mattek#6 - 4 , 7 - 5
winner#22 february 2009#surprise , usa#hard#julia vakulenko#6 - 7 (0 - 7) , 6 - 3 , 4 - 3 , retired
runner - up#1 march 2009#clearwater , united states#hard#julie coin#6 - 3 , 1 - 1 retired
runner - up#17 march 2009#saint - gaudens , france#clay#anastasiya yakimova#5 - 7 , 6 - 7 (0 - 7)
winner#17 october 2010#torhout , belgium#hard#simona halep#6 - 3 , 6 - 2
