date#tournament#winning score#margin of victory#runner (s) - up
aug 9 , 1970#lady carling open#+ 2 (72 + 79 + 70 = 221)#1 stroke#betsy rawls
jun 11 , 1971#george washington classic#- 11 (68 + 72 + 68 = 208)#2 strokes#joanne carner
aug 8 , 1971#lady pepsi open#- 5 (72 + 70 + 72 = 214)#1 stroke#joanne carner
apr 16 , 1972#dinah shore colgate winner 's circle#- 3 (71 + 70 + 72 = 213)#3 strokes#carol mann , judy rankin
may 14 , 1972#suzuki golf internationale#- 8 (68 + 70 + 70 = 208)#1 stroke#kathy whitworth
sep 10 , 1972#dallas civitan open#- 5 (68 + 74 + 69 = 211)#playoff#kathy whitworth
nov 5 , 1972#lady errol classic#- 2 (71 + 70 + 73 = 214)#playoff#sandra palmer , kathy whitworth
mar 17 , 1974#bing crosby international classic#- 1 (74 + 74 + 67 = 215)#2 strokes#jo ann prentice
apr 28 , 1974#birmingham classic#- 5 (73 + 68 + 70 = 211)#3 strokes#sandra palmer
sep 2 , 1974#southgate ladies open#- 2 (70 + 72 = 142)#tie#sue roberts
nov 24 , 1974#lady errol classic#- 1 (70 + 75 + 70 = 215)#playoff#jo ann prentice
mar 29 , 1975#karsten - ping open#- 7 (70 + 71 + 68 = 209)#1 stroke#joanne carner
aug 15 , 1976#wheeling classic#+ 1 (72 + 72 + 73 = 217)#playoff#pat bradley
sep 12 , 1976#dallas civitan open#- 11 (67 + 67 + 71 = 205)#9 strokes#kathy whitworth
may 15 , 1977#greater baltimore golf classic#- 10 (69 + 72 + 68 = 209)#3 strokes#joyce kazmierski , takako kiyamoto
sep 25 , 1977#the sarah coventry#- 10 (72 + 70 + 69 + 71 = 282)#3 strokes#debbie austin , pat meyers
feb 20 , 1978#orange blossom classic#- 4 (71 + 71 + 70 = 212)#2 strokes#gloria ehret
jul 3 , 1978#mayflower classic#- 7 (69 + 72 + 68 = 209)#3 strokes#joyce kazmierski
jul 9 , 1978#wheeling classic#- 9 (68 + 67 + 72 = 207)#7 strokes#kathy martin
may 29 , 1978#golden lights championship (california)#- 12 (67 + 68 + 70 + 71 = 276)#2 strokes#hollis stacy
feb 25 , 1979#orange blossom classic#- 11 (66 + 69 + 70 = 205)#6 strokes#sandra post
apr 22 , 1979#florida lady citrus#- 6 (74 + 68 + 74 + 70 = 286)#playoff#joanne carner
apr 29 , 1979#otey crisman classic#- 11 (68 + 65 + 72 = 205)#6 strokes#pat bradley
jun 17 , 1979#the sarah coventry#- 12 (69 + 70 + 69 + 72 = 280)#6 strokes#alice ritzman
feb 10 , 1980#elizabeth arden classic#- 5 (70 + 66 + 73 + 74 = 283)#1 stroke#jerilyn britz , debbie massey
mar 17 , 1985#women 's kemper open#- 5 (71 + 69 + 72 + 75 = 287)#1 stroke#pat bradley
nov 10 , 1985#mazda japan classic#- 10 (72 + 70 + 64 = 206)#2 strokes#ai - yu tu
