name#height#weight#spike#2008 club
aleksandr korneev#m ()#kg (lb)#cm (in)#zenit kazan
semen poltavskiy#m ()#kg (lb)#cm (in)#dynamo moscow
aleksandr kosarev#m ()#kg (lb)#cm (in)#lokomotiv - belogorie
sergey grankin#m ()#kg (lb)#cm (in)#dynamo moscow
sergey tetyukhin#m ()#kg (lb)#cm (in)#lokomotiv - belogorie
vadim khamuttskikh#m ()#kg (lb)#cm (in)#lokomotiv - belogorie
yury berezhko#m ()#kg (lb)#cm (in)#dynamo moscow
aleksey ostapenko#m ()#kg (lb)#cm (in)#dynamo moscow
aleksandr volkov#m ()#kg (lb)#cm (in)#dynamo moscow
aleksey verbov#m ()#kg (lb)#cm (in)#iskra odintsovo
maxim mikhaylov#m ()#kg (lb)#cm (in)#yaroslavich
aleksey kuleshov#m ()#kg (lb)#cm (in)#iskra odintsovo
