code#municipality#county#population#total area#density (per km 2 land)
0114#upplands väsby municipality#stockholm county#38914#84.28km2 (32.54)#516.31
0115#vallentuna municipality#stockholm county#28954#371.19km 2 (143.32sqmi)#80.41
0117#österåker municipality#stockholm county#38720#322.25km 2 (124.42sqmi)#124.60
0120#värmdö municipality#stockholm county#37376#451.31km 2 (174.25sqmi)#84.38
0123#järfälla municipality#stockholm county#64355#63.39km 2 (24.48sqmi)#1190.66
0125#ekerö municipality#stockholm county#24779#386.58km 2 (149.26sqmi)#114.51
0126#huddinge municipality#stockholm county#94209#141.48km 2 (54.63sqmi)#717.29
0127#botkyrka municipality#stockholm county#80055#210.26km 2 (81.18sqmi)#410.90
0128#salem municipality#stockholm county#15177#71.53km 2 (27.62sqmi)#279.40
0136#haninge municipality#stockholm county#74968#464.02km 2 (179.16sqmi)#163.86
0138#tyresö municipality#stockholm county#42332#72.87km 2 (28.14sqmi)#609.31
0139#upplands - bro municipality#stockholm county#22682#328.48km 2 (126.83sqmi)#95.66
0140#nykvarn municipality#stockholm county#9035#178.16km 2 (68.79sqmi)#58.88
0160#täby municipality#stockholm county#62266#66.03km 2 (25.49sqmi)#1027.15
0162#danderyd municipality#stockholm county#30851#26.66km 2 (10.29sqmi)#1163.75
0163#sollentuna municipality#stockholm county#62097#56.16km 2 (21.68sqmi)#1172.91
0180#stockholm municipality#stockholm county#810120#209.12km 2 (80.74sqmi)#4307.84
0181#södertälje municipality#stockholm county#84753#611.45km 2 (236.08sqmi)#161.26
0182#nacka municipality#stockholm county#85661#99.99km 2 (38.61sqmi)#896.93
0183#sundbyberg municipality#stockholm county#36079#8.82km 2 (3.41sqmi)#4144.44
0184#solna municipality#stockholm county#65289#21.12km 2 (8.15sqmi)#3368.09
0186#lidingö municipality#stockholm county#43111#30.77km 2 (11.88sqmi)#1413.94
0187#vaxholm municipality#stockholm county#10747#58.76km 2 (22.69sqmi)#185.10
0188#norrtälje municipality#stockholm county#55528#2118.41km 2 (817.92sqmi)#27.62
0191#sigtuna municipality#stockholm county#38372#351.64km 2 (135.77sqmi)#117.03
0192#nynäshamn municipality#stockholm county#25499#364.05km 2 (140.56sqmi)#71.38
0305#håbo municipality#uppsala county#19225#186.18km 2 (71.88sqmi)#134.10
0319#älvkarleby municipality#uppsala county#9064#235.22km 2 (90.82sqmi)#42.48
0330#knivsta municipality#uppsala county#14259#296.94km 2 (114.65sqmi)#50.30
0331#heby municipality#uppsala county#13407#1231.69km 2 (475.56sqmi)#11.44
0360#tierp municipality#uppsala county#20153#1610.07km 2 (621.65sqmi)#13.00
0380#uppsala municipality#uppsala county#190668#2246.09km 2 (867.22sqmi)#87.10
0381#enköping municipality#uppsala county#38978#1330.19km 2 (513.59sqmi)#32.92
0382#östhammar municipality#uppsala county#21434#1502.55km 2 (580.14sqmi)#14.57
0428#vingåker municipality#södermanland county#9000#441.86km 2 (170.6sqmi)#24.16
0461#gnesta municipality#södermanland county#10179#540.40km 2 (208.65sqmi)#22.00
0480#nyköping municipality#södermanland county#50973#1562.75km 2 (603.38sqmi)#35.70
0481#oxelösund municipality#södermanland county#11170#35.75km 2 (13.8sqmi)#314.03
0482#flen municipality#södermanland county#16133#830.59km 2 (320.69sqmi)#22.34
0483#katrineholm municipality#södermanland county#32207#1195.87km 2 (461.73sqmi)#31.41
0484#eskilstuna municipality#södermanland county#94785#1257.53km 2 (485.54sqmi)#85.88
0486#strängnäs municipality#södermanland county#31715#979.97km 2 (378.37sqmi)#42.77
0488#trosa municipality#södermanland county#11362#218.67km 2 (84.43sqmi)#53.85
0509#ödeshög municipality#östergötland county#5350#672.10km 2 (259.5sqmi)#12.40
0512#ydre municipality#östergötland county#3726#782.65km 2 (302.18sqmi)#5.49
0513#kinda municipality#östergötland county#9885#1308.74km 2 (505.31sqmi)#8.71
0560#boxholm municipality#östergötland county#5260#606.97km 2 (234.35sqmi)#9.96
0561#åtvidaberg municipality#östergötland county#11543#784.32km 2 (302.83sqmi)#16.72
0562#finspång municipality#östergötland county#20589#1221.74km 2 (471.72sqmi)#19.39
0563#valdemarsvik municipality#östergötland county#7852#781.69km 2 (301.81sqmi)#10.63
0580#linköping municipality#östergötland county#141863#1575.91km 2 (608.46sqmi)#98.80
0581#norrköping municipality#östergötland county#128060#1612.03km 2 (622.41sqmi)#85.17
0582#söderköping municipality#östergötland county#13959#691.24km 2 (266.89sqmi)#20.59
0583#motala municipality#östergötland county#41953#1273.52km 2 (491.71sqmi)#42.45
0584#vadstena municipality#östergötland county#7475#415.20km 2 (160.31sqmi)#40.96
0586#mjölby municipality#östergötland county#25654#559.94km 2 (216.19sqmi)#46.73
0604#aneby municipality#jönköping county#6523#556.92km 2 (215.03sqmi)#12.53
0617#gnosjö municipality#jönköping county#9658#452.42km 2 (174.68sqmi)#22.84
0642#mullsjö municipality#jönköping county#7086#212.35km 2 (81.99sqmi)#35.16
0643#habo municipality#jönköping county#10526#463.91km 2 (179.12sqmi)#31.94
0662#gislaved municipality#jönköping county#29380#1226.15km 2 (473.42sqmi)#25.70
0665#vaggeryd municipality#jönköping county#12981#862.52km 2 (333.02sqmi)#15.66
0680#jönköping municipality#jönköping county#125154#1935.24km 2 (747.2sqmi)#84.07
0682#nässjö municipality#jönköping county#29511#993.78km 2 (383.7sqmi)#31.56
0683#värnamo municipality#jönköping county#32823#1391.24km 2 (537.16sqmi)#26.84
0684#sävsjö municipality#jönköping county#10883#733.00km 2 (283.01sqmi)#15.94
0685#vetlanda municipality#jönköping county#26343#1608.64km 2 (621.1sqmi)#17.45
0686#eksjö municipality#jönköping county#16312#877.68km 2 (338.87sqmi)#20.29
0687#tranås municipality#jönköping county#18066#439.76km 2 (169.79sqmi)#44.63
0760#uppvidinge municipality#kronoberg county#9347#1232.64km 2 (475.92sqmi)#7.93
0761#lessebo municipality#kronoberg county#8085#458.54km 2 (177.04sqmi)#19.49
0763#tingsryd municipality#kronoberg county#12502#1213.02km 2 (468.35sqmi)#11.91
