rank#name#years#matches#goals
1#oleg veretennikov#1992 - 2002#273#143
2#alexandr kerzhakov#2001 - present#283#129
3#dmitry kirichenko#1998 - present#365#128
4#dmitry loskov#1992 - present#452#120
5#sergey semak#1993 - present#450#102
6#andrey tikhonov#1992 - 2008#345#98
7#igor semshov#1996 - present#417#97
8#roman pavlyuchenko#1998 - present#221#89
9#valery yesipov#1992 - 2007#390#88
10#yegor titov#1995 - 2008#336#88
11#oleg teryokhin#1995 - 2005#208#84
12#dmitri sychev#2002 - present#241#81
12#vágner love#2002 - 2011#158#79
