season#player#nationality#club#goals
1923–24#heinrich schönfeld#austria#torino#22
1924–25#mario magnozzi#italy#livorno#19
1925–26#ferenc hirzer#hungary#juventus#35
1926–27#anton powolny#austria#internazionale#22
1927–28#julio libonatti#argentina / italy#torino#35
1928–29#gino rossetti#italy#torino#36
1929–30#giuseppe meazza#italy#ambrosiana - inter#31
1930–31#rodolfo volk#italy#roma#29
1931–32#angelo schiavio pedro petrone#italy uruguay#bologna fiorentina#25
1932–33#felice borel#italy#juventus#29
1933–34#felice borel#italy#juventus#31
1934–35#enrique guaita#argentina / italy#roma#28
1935–36#giuseppe meazza#italy#ambrosiana - inter#25
1936–37#silvio piola#italy#lazio#21
1937–38#giuseppe meazza#italy#ambrosiana - inter#20
1938–39#ettore puricelli aldo boffi#uruguay / italy italy#bologna milan#19
1939–40#aldo boffi#italy#milan#24
1940–41#ettore puricelli#uruguay / italy#bologna#22
1941–42#aldo boffi#italy#milan#22
1942–43#silvio piola#italy#lazio#21
1943–45#not awarded#n / a#n / a#n / a
1945–46#guglielmo gabetto#italy#torino#22
1946–47#valentino mazzola#italy#torino#29
1947–48#giampiero boniperti#italy#juventus#27
1948–49#istván nyers#hungary#internazionale#26
1949–50#gunnar nordahl#sweden#milan#35
1950–51#gunnar nordahl#sweden#milan#34
1951–52#john hansen#denmark#juventus#30
1952–53#gunnar nordahl#sweden#milan#26
1953–54#gunnar nordahl#sweden#milan#23
1954–55#gunnar nordahl#sweden#milan#27
1955–56#gino pivatelli#italy#bologna#29
1956–57#dino da costa#brazil / italy#roma#22
1957–58#john charles#wales#juventus#28
1958–59#antonio valentín angelillo#argentina / italy#internazionale#33
1959–60#omar sívori#argentina / italy#juventus#28
1960–61#sergio brighenti#italy#sampdoria#27
1961–62#josé altafini aurelio milani#brazil / italy italy#milan fiorentina#22
1962–63#harald nielsen pedro manfredini#denmark argentina#bologna roma#19
1963–64#harald nielsen#denmark#bologna#17
1964–65#sandro mazzola alberto orlando#italy italy#internazionale fiorentina#17
1965–66#luis vinicio#brazil#vicenza#25
1966–67#gigi riva#italy#cagliari#18
1967–68#pierino prati#italy#milan#15
1968–69#gigi riva#italy#cagliari#21
1969–70#gigi riva#italy#cagliari#21
1970–71#roberto boninsegna#italy#internazionale#24
1971–72#roberto boninsegna#italy#internazionale#22
1972–73#giuseppe savoldi paolino pulici gianni rivera#italy italy italy#bologna torino milan#17
1973–74#giorgio chinaglia#italy#lazio#24
1974–75#paolino pulici#italy#torino#18
1975–76#paolino pulici#italy#torino#21
1976–77#francesco graziani#italy#torino#21
1977–78#paolo rossi#italy#vicenza#24
1978–79#bruno giordano#italy#lazio#19
1979–80#roberto bettega#italy#juventus#16
1980–81#roberto pruzzo#italy#roma#18
1981–82#roberto pruzzo#italy#roma#15
1982–83#michel platini#france#juventus#16
1983–84#michel platini#france#juventus#20
1984–85#michel platini#france#juventus#18
1985–86#roberto pruzzo#italy#roma#19
1986–87#pietro paolo virdis#italy#milan#17
1987–88#diego maradona#argentina#napoli#15
1988–89#aldo serena#italy#internazionale#22
1989–90#marco van basten#netherlands#milan#19
1990–91#gianluca vialli#italy#sampdoria#19
1991–92#marco van basten#netherlands#milan#25
1992–93#giuseppe signori#italy#lazio#26
1993–94#giuseppe signori#italy#lazio#23
1994–95#gabriel batistuta#argentina#fiorentina#26
1995–96#igor protti giuseppe signori#italy italy#bari lazio#24
1996–97#filippo inzaghi#italy#atalanta#24
1997–98#oliver bierhoff#germany#udinese#27
1998–99#márcio amoroso#brazil#udinese#22
1999 - 00#andriy shevchenko#ukraine#milan#24
2000–01#hernán crespo#argentina#lazio#26
2001–02#david trezeguet dario hübner#france italy#juventus piacenza#24
2002–03#christian vieri#italy#internazionale#24
2003–04#andriy shevchenko#ukraine#milan#24
2004–05#cristiano lucarelli#italy#livorno#24
2005–06#luca toni#italy#fiorentina#31
2006–07#francesco totti#italy#roma#26
2007–08#alessandro del piero#italy#juventus#21
2008–09#zlatan ibrahimović#sweden#internazionale#25
2009–10#antonio di natale#italy#udinese#29
2010–11#antonio di natale#italy#udinese#28
2011–12#zlatan ibrahimović#sweden#milan#28
2012–13#edinson cavani#uruguay#napoli#29
