date#opponent#venue#result#attendance
9 august 2003#kilmarnock#h#4 - 0#49108
16 august 2003#aberdeen#a#3 - 2#16348
23 august 2003#hibernian#h#5 - 2#49642
31 august 2003#dundee united#a#3 - 1#11111
13 september 2003#dunfermline athletic#h#4 - 0#49072
21 september 2003#heart of midlothian#a#4 - 0#14732
27 september 2003#dundee#h#3 - 1#49548
4 october 2003#celtic#h#0 - 1#49825
19 october 2003#motherwell#a#1 - 1#10824
25 october 2003#livingston#a#0 - 0#9627
1 november 2003#partick thistle#h#3 - 1#49551
9 november 2003#kilmarnock#a#3 - 2#12204
22 november 2003#aberdeen#h#3 - 0#49962
30 november 2003#hibernian#a#1 - 0#11160
6 december 2003#dundee united#h#2 - 1#49307
14 december 2003#dunfermline athletic#a#0 - 2#8592
20 december 2003#hearts#h#2 - 1#49592
28 december 2003#dundee#a#2 - 0#10948
3 january 2004#celtic#a#0 - 3#59087
17 january 2004#motherwell#h#1 - 0#48925
24 january 2004#livingston#h#1 - 0#48638
1 february 2004#partick thistle#a#1 - 0#8220
11 february 2004#kilmarnock#h#2 - 0#46900
14 february 2004#aberdeen#a#1 - 1#15815
21 february 2004#hibernian#h#3 - 0#49698
29 february 2004#dundee united#a#0 - 2#10497
13 march 2004#hearts#a#1 - 1#14598
20 march 2004#dundee#h#4 - 0#49364
23 march 2004#dunfermline athletic#h#4 - 1#47487
28 march 2004#celtic#h#1 - 2#49909
4 april 2004#motherwell#a#1 - 0#8967
14 april 2004#livingston#a#1 - 1#6096
17 april 2004#partick thistle#h#2 - 0#49279
24 april 2004#dundee united#a#3 - 3#8339
1 may 2004#motherwell#h#4 - 0#47579
8 may 2004#celtic#a#0 - 1#59180
12 may 2004#hearts#h#0 - 1#47467
16 may 2004#dunfermline athletic#a#3 - 2#6798
