week#player#team#opponent#carries#yards#average#touchdowns
1#clinton portis#den#cin#24#120#5.0#2
2#jamal lewis#bal#cle#30#295#9.8#2
3#ricky williams#mia#buf#42#153#3.6#1
4#ahman green#gb#chi#19#176#9.3#2
5#ahman green#gb#sea#27#118#4.4#2
6#william green#cle#oak#26#145#5.6#1
7#travis henry#buf#was#31#167#5.4#2
8#stephen davis#car#no#31#178#5.7#2
9#ahman green#gb#min#21#137#6.5#0
10#ladainian tomlinson#sd#min#16#162#10.1#2
11#deuce mcallister#no#atl#28#173#6.2#2
12#deuce mcallister#no#phi#19#184#9.7#2
13#clinton portis#den#oak#34#170#5.0#2
14#clinton portis#den#kc#22#218#9.9#5
15#rudi johnson#cin#sf#21#174#8.3#2
16#jamal lewis#bal#cle#22#205#9.3#2
