nat#name#since#goals#ends#transfer fee
esp#almunia#2004#0#undisclosed#£ 0.5m
fra#sagna#2007#1#2014#£ 7.5m
civ#touré ( vc )#2002 (winter)#14#undisclosed#£ 0.15m
fra#gallas (captain)#2006#13#undisclosed#part exchange with a. cole + £5m
fra#clichy#2003#1#2012#£ 0.25m
bra#denílson#2006#5#undisclosed#£ 3.4m
esp#fàbregas ( captain )#2003#29#2014#free
cmr#song#2005#3#undisclosed#£ 1.0m
fra#nasri#2008#7#undisclosed#£ 12m
tog#adebayor#2006 (winter)#62#undisclosed#£ 3m
ned#v. persie#2004#63#2011#£ 2.75m
den#bendtner#2004#23#2012#youth system
civ#eboué#2005 (winter)#6#undisclosed#£ 1.54m
fra#diaby#2006 (winter)#10#undisclosed#£ 2m
eng#walcott#2006 (winter)#14#undisclosed#£ 9.1m
sui civ#djourou#2003#0#undisclosed#youth system
mex#vela#2005#6#2010#£ 0.5m
fra#silvestre#2008#2#2010#£ 0.75m
wal#ramsey#2008#1#undisclosed#£ 4.8m
eng#gibbs#2007#0#undisclosed#youth system
pol#fabiański#2007#0#undisclosed#£ 2.0m
rus#arshavin#2009 (winter)#6#2012#£ 15.0m
eng#wilshere#2008#1#undisclosed#youth system
cro bra#eduardo#2007#15#2011#£ 7.5m
por fra#bischoff#2008#0#undisclosed#free
ita#mannone#2005#0#undisclosed#£ 0.35m
cze#rosický#2006#13#undisclosed#£ 6.8m
