date#opponent#result#score#record#streak
fri , oct 12 , 1979#san diego clippers#win#103 - 102#1 - 0#won 1
tue , oct 16 , 1979#chicago bulls#win#105 - 96#2 - 0#won 2
wed , oct 17 , 1979#seattle supersonics#loss#110 - 112#2 - 1#lost 1
fri , oct 19 , 1979#portland trail blazers#loss#82 - 99#2 - 2#lost 2
sun , oct 21 , 1979#seattle supersonics#win#106 - 97#3 - 2#won 1
tue , oct 23 , 1979#utah jazz#win#102 - 87#4 - 2#won 2
fri , oct 26 , 1979#kansas city kings#win#116 - 104#5 - 2#won 3
sun , oct 28 , 1979#golden state warriors#win#97 - 90#6 - 2#won 4
tue , oct 30 , 1979#chicago bulls#win#111 - 105#7 - 2#won 5
wed , oct 31 , 1979#milwaukee bucks#loss#106 - 110#7 - 3#lost 1
