s car plate (starting 1937)#voivodeship or city#capital#area (1930) in 1000skm 2#population (1931) in 1000s
s car plate (starting 1937)#voivodeship or city#capital#area (1930) in 1000skm 2#population (1931) in 1000s
00 - 19#city of warsaw#warsaw#0.14#1179.5
85 - 89#warszawskie#warsaw#31.7#2460.9
20 - 24#białostockie#białystok#26.0#1263.3
25 - 29#kieleckie#kielce#22.2#2671.0
30 - 34#krakowskie#kraków#17.6#2300.1
35 - 39#lubelskie#lublin#26.6#2116.2
40 - 44#lwowskie#lwów#28.4#3126.3
45 - 49#łódzkie#łódź#20.4#2650.1
50 - 54#nowogródzkie#nowogródek#23.0#1057.2
55 - 59#poleskie#brześć nad bugiem#36.7#1132.2
60 - 64#pomorskie#toruń#25.7#1884.4
65 - 69#poznańskie#poznań#28.1#2339.6
70 - 74#stanisławowskie#stanisławów#16.9#1480.3
75 - 79#śląskie#katowice#5.1#1533.5
80 - 84#tarnopolskie#tarnopol#16.5#1600.4
90 - 94#wileńskie#wilno#29.0#1276.0
