episode#1 st season#2nd season#3rd season#4th season#5th season#6th season#7th season
1#4 396 564#6 993 951#7 411 177#8 731 526#8 505 195#7 296 506#6 289 835
2#4 308 423#7 003 036#7 168 720#8 781 551#7 812 933#6 871 595#6 463 328
3#4 674 041#6 896 669#6 373 730#8 532 874#7 201 978#6 554 510#6 129 170
4#4 917 123#6 594 469#6 989 417#8 856 741#7 448 975#6 649 278#6 070 625
5#4 930 817#6 806 420#6 858 379#8 135 420#7 039 028#6 526 647#5 467 634
6#4 416 068#6 220 465#6 943 357#8 104 889#6 858 208#5 973 975#6 373 755
7#4 314 409#6 691 196#7 014 966#7 697 001#5 750 352#6 138 934#6 863 240
8#4 245 310#5 957 569#6 730 041#8 528 782#6 100 137#6 622 856#6 394 566
9#4 832 273#6 919 954#7 187 346#8 104 969#6 254 249#5 385 754#6 607 831
10#4 459 323#6 825 023#6 622 214#7 765 372#6 645 897#6 461 324#6 256 213
11#5 017 929#7 735 820#6 990 594#7 993 829#5 452 660#5 941 067#6 805 863
12#5 218 512#7 102 324#6 494 720#7 585 219#6 184 945#5 156 260#6 145 820
13#7 397 082#4 758 730#6 891 813#8 872 069#5 538 714#5 363 702#6 406 260
