name#pos#height#weight#date of birth#club
denis sefik#gk#m (ft 8in)#kg (lb)#1976 - 09 - 20#vk partizan
petar trbojević#d#m (ft 6in)#kg (lb)#1973 - 09 - 09#cn atlètic - barceloneta
slobodan nikić#cf#m (ft 5in)#kg (lb)#1983 - 01 - 25#pvk jadran
vanja udovičić#d#m (ft 4in)#kg (lb)#1982 - 09 - 12#pvk jadran
dejan savić#cb#m (ft 4in)#kg (lb)#1975 - 04 - 24#pro recco
danilo ikodinović#d#m (ft 2in)#kg (lb)#1976 - 10 - 04#pro recco
viktor jelenić#cf#m (ft 8in)#kg (lb)#1970 - 10 - 31#rari nantes savona
vladimir gojković#d#m (ft 4in)#kg (lb)#1982 - 01 - 29#pvk jadran
aleksandar ćirić#d#m (ft 4in)#kg (lb)#1977 - 12 - 31#leonessa brescia
aleksandar šapić#d#m (ft 3in)#kg (lb)#1978 - 06 - 01#rari nantes savona
vladimir vujasinović#cb#m (ft 5in)#kg (lb)#1973 - 08 - 14#pro recco
predrag jokić#cb#m (ft 2in)#kg (lb)#1983 - 02 - 03#pvk jadran
nikola kuljača#gk#m (ft 6in)#kg (lb)#1974 - 08 - 16#telimar palermo
head coach : nenad manojlović#head coach : nenad manojlović#head coach : nenad manojlović#head coach : nenad manojlović#head coach : nenad manojlović#head coach : nenad manojlović
