res#record#opponent#method#event#round#time#location
loss#6 - 5#ryan thomas#submission (armbar)#xfc 21: night of champions 2#1#2:34#nashville , tennessee , united states
win#6 - 4#darryl madison#submission (anaconda choke)#complete devastation 5#1#1:11#altoona , pennsylvania , united states
win#5 - 4#charlie rader#submission (brabo choke)#xfc 15: tribute#1#3:58#tampa , florida , united states
loss#4 - 4#rob mccullough#decision (unanimous)#tachi palace fights 6#3#5:00#lemoore , california , united states
win#4 - 3#kit cope#submission (triangle choke)#raging wolf 8: cage supremacy#1#2:30#salamanca , new york , united states
loss#3 - 3#mark holst#submission (kimura)#xkl : evolution 1#2#4:06#ypsilanti , michigan , united states
win#3 - 2#jason trzewieczynski#decision (unanimous)#raging wolf 6: mayhem in the mist#3#5:00#niagara , new york , united states
loss#2 - 2#dale hartt#tko (broken leg)#ufc : fight for the troops#2#0:20#fayetteville , north carolina , united states
loss#2 - 1#justin buchholz#submission (rear naked choke)#ufc 86#2#3:57#las vegas , nevada , united states
win#2 - 0#joe veres#tko (punches)#ufc fight night 12#2#0:37#las vegas , nevada , united states
win#1 - 0#stryder fann#tko (punches)#kickdown classic 31#1#0:34#casper , wyoming , united states
