year#regular season champion (s)#record#tournament champion#tournament venue#tournament city
1921–22#virginia#5–0#north carolina#municipal auditorium#atlanta , georgia
1922–23#north carolina#5–0#mississippi state#municipal auditorium#atlanta , georgia
1923–24#tulane#10–0#north carolina#municipal auditorium#atlanta , georgia
1924–25#north carolina#8–0#north carolina#municipal auditorium#atlanta , georgia
1925–26#kentucky#8–0#north carolina#municipal auditorium#atlanta , georgia
1926–27#south carolina#9–1#vanderbilt#municipal auditorium#atlanta , georgia
1927–28#auburn#12–1#mississippi#municipal auditorium#atlanta , georgia
1928–29#washington & lee#7–1#nc state#municipal auditorium#atlanta , georgia
1929–30#alabama#10–0#alabama#municipal auditorium#atlanta , georgia
1930–31#georgia#15–1#maryland#municipal auditorium#atlanta , georgia
1931–32#maryland kentucky#9–1#georgia#municipal auditorium#atlanta , georgia
1932–33#south carolina#3–0#south carolina#thompson gym#raleigh , north carolina
1933–34#south carolina#6–0#washington & lee#thompson gym#raleigh , north carolina
1934–35#north carolina#12–1#north carolina#thompson gym#raleigh , north carolina
1935–36#washington & lee#10–1#north carolina#thompson gym#raleigh , north carolina
1936–37#washington & lee#11–1#washington & lee#thompson gym#raleigh , north carolina
1937–38#north carolina#13–3#duke#thompson gym#raleigh , north carolina
1938–39#wake forest#15–3#clemson#thompson gym#raleigh , north carolina
1939–40#duke#13–2#north carolina#thompson gym#raleigh , north carolina
1940–41#north carolina#14–1#duke#thompson gym#raleigh , north carolina
1941–42#duke#15–1#duke#thompson gym#raleigh , north carolina
1942–43#duke#12–1#george washington#thompson gym#raleigh , north carolina
1943–44#north carolina#9–1#duke#thompson gym#raleigh , north carolina
1944–45#south carolina#9–0#north carolina#thompson gym#raleigh , north carolina
1945–46#north carolina#13–1#duke#thompson gym#raleigh , north carolina
1946–47#nc state#11–2#nc state#duke indoor stadium#durham , north carolina
1947–48#nc state#12–0#nc state#duke indoor stadium#durham , north carolina
1948–49#nc state#14–1#nc state#duke indoor stadium#durham , north carolina
1949–50#nc state#12–2#nc state#duke indoor stadium#durham , north carolina
1950–51#nc state#13–1#nc state#reynolds coliseum#raleigh , north carolina
1951–52#west virginia#15–1#nc state#reynolds coliseum#raleigh , north carolina
1952–53#nc state#13–3#wake forest#reynolds coliseum#raleigh , north carolina
1953–54#george washington#10–0#george washington#wvu field house#morgantown , west virginia
1954–55#west virginia#9–1#west virginia#richmond arena#richmond , virginia
1955–56#george washington west virginia#10–2#west virginia#richmond arena#richmond , virginia
1956–57#west virginia#12–0#west virginia#richmond arena#richmond , virginia
1957–58#west virginia#12–0#west virginia#richmond arena#richmond , virginia
1958–59#west virginia#12–0#west virginia#richmond arena#richmond , virginia
1959–60#virginia tech#12–1#west virginia#richmond arena#richmond , virginia
1960–61#west virginia#11–1#george washington#richmond arena#richmond , virginia
1961–62#west virginia#12–1#west virginia#richmond arena#richmond , virginia
1962–63#west virginia#11–2#west virginia#richmond arena#richmond , virginia
1963–64#davidson#9–2#vmi#charlotte coliseum i#charlotte , north carolina
1964–65#davidson#12–0#west virginia#charlotte coliseum i#charlotte , north carolina
1965–66#davidson#11–1#davidson#charlotte coliseum i#charlotte , north carolina
1966–67#west virginia#9–1#west virginia#charlotte coliseum i#charlotte , north carolina
1967–68#davidson#9–1#davidson#charlotte coliseum i#charlotte , north carolina
1968–69#davidson#9–0#davidson#charlotte coliseum i#charlotte , north carolina
1969–70#davidson#10–0#davidson#charlotte coliseum i#charlotte , north carolina
1970–71#davidson#9–1#furman#charlotte coliseum i#charlotte , north carolina
1971–72#davidson#8–2#east carolina#greenville memorial auditorium#greenville , south carolina
1972–73#davidson#9–1#furman#richmond coliseum#richmond , virginia
1973–74#furman#11–1#furman#richmond coliseum#richmond , virginia
1974–75#furman#12–0#furman#greenville memorial auditorium#greenville , south carolina
1975–76#vmi#9–3#vmi#greenville memorial auditorium#greenville , south carolina
1976–77#furman vmi#8–2#vmi#roanoke civic center#roanoke , virginia
1977–78#appalachian state#9–3#furman#roanoke civic center#roanoke , virginia
1978–79#appalachian state#11–3#appalachian state#roanoke civic center#roanoke , virginia
1979–80#furman#14–1#furman#roanoke civic center#roanoke , virginia
1980–81#appalachian state davidson chattanooga#11–5#chattanooga#roanoke civic center#roanoke , virginia
1981–82#chattanooga#15–1#chattanooga#charleston civic center#charleston , west virginia
1982–83#chattanooga#15–1#chattanooga#charleston civic center#charleston , west virginia
1983–84#marshall#13–3#marshall#asheville civic center#asheville , north carolina
1984–85#chattanooga#14–2#marshall#asheville civic center#asheville , north carolina
1985–86#chattanooga#12–4#davidson#asheville civic center#asheville , north carolina
1986–87#marshall#15–1#marshall#asheville civic center#asheville , north carolina
1987–88#marshall#14–2#chattanooga#asheville civic center#asheville , north carolina
1988–89#chattanooga#10–4#east tennessee state#asheville civic center#asheville , north carolina
1989–90#east tennessee state#12–2#east tennessee state#asheville civic center#asheville , north carolina
1990–91#furman east tennessee state chattanooga#11–3#east tennessee state#asheville civic center#asheville , north carolina
1991–92#east tennessee state chattanooga#12–2#east tennessee state#asheville civic center#asheville , north carolina
1992–93#chattanooga#16–2#chattanooga#asheville civic center#asheville , north carolina
1993–94#chattanooga#14–4#chattanooga#asheville civic center#asheville , north carolina
