year#song title#artist#master recording ?#release date#single / pack
2007# carcinogen crush #afi#yes#2007 - 10 - 31 oct. 31 , 2007#companion pack
2007#tina#flyleaf#yes#2007 - 10 - 31 oct. 31 , 2007#companion pack
2002# all my life #foo fighters#yes#2007 - 11 - 08 nov. 8 , 2007#foo fighters pack
2007# pretender the pretender #foo fighters#yes#2007 - 11 - 08 nov. 8 , 2007#foo fighters pack
1995# this is a call #foo fighters#yes#2007 - 11 - 08 nov. 8 , 2007#foo fighters pack
2007# she builds quick machines #velvet revolver#yes#2007 - 11 - 08 nov. 8 , 2007#velvet revolver pack
2004# slither #velvet revolver#yes#2007 - 11 - 08 nov. 8 , 2007#velvet revolver pack
2007#messages#velvet revolver#yes#2007 - 11 - 08 nov. 8 , 2007#velvet revolver pack
2007#tom morello guitar battle#tom morello#yes#2007 - 11 - 15 nov. 15 , 2007#boss battle pack
2007#slash guitar battle#slash#yes#2007 - 11 - 15 nov. 15 , 2007#boss battle pack
2004# halo theme mjolnir mix#o'donnell o'donnell / salvatori / vai#yes#2007 - 11 - 22 nov. 22 , 2007#single
2007#ernten was wir säen#fantastischen vier die fantastischen vier#yes#2007 - 12 - 20 dec. 20 , 2007#single
1996#so payaso#extremoduro#yes#2007 - 12 - 20 dec. 20 , 2007#single
1980#antisocial#trust#yes#2007 - 12 - 20 dec. 20 , 2007#single
2007# we three kings #steve ouimette#yes#2007 - 12 - 20 dec. 20 , 2007#single
2007# pretty handsome awkward #used the used#yes#2007 - 12 - 20 dec. 20 , 2007#warner / reprise track pack
2007#no more sorrow#linkin park#yes#2007 - 12 - 20 dec. 20 , 2007#warner / reprise track pack
2006#sleeping giant#mastodon#yes#2007 - 12 - 20 dec. 20 , 2007#warner / reprise track pack
1980# any way you want it #journey#yes#2008 - 01 - 24 jan. 24 , 2008#classic rock track pack
1981# jukebox hero #foreigner#yes#2008 - 01 - 24 jan. 24 , 2008#classic rock track pack
1976# peace of mind #boston#yes#2008 - 01 - 24 jan. 24 , 2008#classic rock track pack
2007# dream on #aerosmith#yes#2008 - 02 - 16 feb. 16 , 2008#single
1996# excuse me mr. #no doubt#yes#2008 - 02 - 28 feb. 28 , 2008#no doubt track pack
1996# don't speak #no doubt#yes#2008 - 02 - 28 feb. 28 , 2008#no doubt track pack
1996# sunday morning #no doubt#yes#2008 - 02 - 28 feb. 28 , 2008#no doubt track pack
2007# arsonist the arsonist#thrice#yes#2008 - 03 - 06 mar. 6 , 2008#modern metal track pack
2006# hole in the earth #deftones#yes#2008 - 03 - 06 mar. 6 , 2008#modern metal track pack
2007# almost easy #avenged sevenfold#yes#2008 - 03 - 06 mar. 6 , 2008#modern metal track pack
2007#famous for nothing#dropkick murphys#yes#2008 - 03 - 13 mar. 13 , 2008#dropkick murphys track pack
2007# (f) lannigan 's ball #dropkick murphys#yes#2008 - 03 - 13 mar. 13 , 2008#dropkick murphys track pack
2007# johnny , i hardly knew ya #dropkick murphys#yes#2008 - 03 - 13 mar. 13 , 2008#dropkick murphys track pack
2008# nine lives #def leppard#yes#2008 - 04 - 24 apr. 24 , 2008#def leppard track pack
1983# rock of ages (live)#def leppard#yes#2008 - 04 - 24 apr. 24 , 2008#def leppard track pack
1983# photograph (live)#def leppard#yes#2008 - 04 - 24 apr. 24 , 2008#def leppard track pack
2006#exo - politics#muse#yes#2008 - 05 - 08 may 8 , 2008#muse track pack
2006# supermassive black hole #muse#yes#2008 - 05 - 08 may 8 , 2008#muse track pack
2003# stockholm syndrome #muse#yes#2008 - 05 - 08 may 8 , 2008#muse track pack
2008#(we are) the road crew#motörhead#yes#2008 - 06 - 05 june 5 , 2008#motörhead track pack
2008#stay clean#motörhead#yes#2008 - 06 - 05 june 5 , 2008#motörhead track pack
2008# motorhead #motörhead#yes#2008 - 06 - 05 june 5 , 2008#motörhead track pack
2008# end begins (to rock) the end begins (to rock)#god of war ii#yes#2008 - 06 - 07 june 7 , 2008#single
2006# shoot the runner #kasabian#yes#2008 - 06 - 12 june 12 , 2008#isle of wight festival track pack
2004# i predict a riot #kaiser chiefs#yes#2008 - 06 - 12 june 12 , 2008#isle of wight festival track pack
2008#problems (live at brixton)#sex pistols#yes#2008 - 06 - 12 june 12 , 2008#isle of wight festival track pack
2008# violet hill #coldplay#yes#2008 - 06 - 19 june 19 , 2008#coldplay track pack
2000# yellow #coldplay#yes#2008 - 06 - 19 june 19 , 2008#coldplay track pack
2002# god put a smile upon your face #coldplay#yes#2008 - 06 - 19 june 19 , 2008#coldplay track pack
2008#i am murloc#l70etc#yes#2008 - 06 - 26 june 26 , 2008#single
1986# top gun anthem #steve ouimette#yes#2008 - 07 - 03 july 3 , 2008#single
1987# surfing with the alien #joe satriani#yes#2008 - 07 - 24 july 24 , 2008#guitar virtuoso track pack
