game#date#team#score#record#streak
36#january 3#detroit pistons#92 - 111#22 - 14#loss 3
37#january 4#atlanta hawks#121 - 108#23 - 14#win 1
38#january 6#philadelphia 76ers#95 - 101#23 - 15#loss 1
39#january 7#los angeles lakers#115 - 107#24 - 15#win 1
40#january 9#boston celtics (at toronto , canada)#100 - 108#24 - 16#loss 1
41#january 10#cleveland cavaliers#104 - 100#25 - 16#win 1
42#january 12#boston celtics#114 - 101#26 - 16#win 2
43#january 17#golden state warriors#121 - 116#27 - 16#win 3
44#january 18#atlanta hawks#129 - 115#28 - 16#win 4
45#january 19#new orleans jazz#117 - 112#29 - 16#win 5
46#january 21#seattle supersonics#118 - 108#30 - 16#win 6
47#january 24#new york knicks#105 - 99#31 - 16#win 7
48#january 26#boston celtics#93 - 107#31 - 17#loss 1
49#january 30#cleveland cavaliers#97 - 91#32 - 17#win 1
50#january 31#atlanta hawks#111 - 101#33 - 17#win 2
