year#network#lap - by - lap#color commentator (s)#pit reporters#host#ratings#viewers
1979#cbs#ken squier#david hobbs#ned jarrett brock yates#ken squier#10.5 / 29#15.1 million
1980#cbs#ken squier#david hobbs#ned jarrett brock yates#ken squier#8.0 / 21#10.8 million
1981#cbs#ken squier#david hobbs#ned jarrett brock yates#ken squier#8.4 / 26#11.2 million
1982#cbs#ken squier#david hobbs#ned jarrett larry nuber#brock yates#9.4 / 27#11.8 million
1983#cbs#ken squier#david hobbs#ned jarrett larry nuber#ken squier#8.7 / 26#11.0 million
1984#cbs#ken squier#david hobbs#ned jarrett chris economaki mike joy#chris economaki#8.7 / 23#12.3 million
1985#cbs#ken squier#david hobbs ned jarrett#chris economaki mike joy#chris economaki#8.3 / 23#9.8 million
1986#cbs#ken squier#david hobbs ned jarrett#chris economaki mike joy#chris economaki#8.4 / 22#10.3 million
1987#cbs#ken squier#david hobbs ned jarrett#chris economaki mike joy dave despain#chris economaki#9.4 / 26#12.4 million
1988#cbs#ken squier#ned jarrett chris economaki#mike joy dave despain david hobbs#chris economaki#7.4 / 18#10.0 million
1989#cbs#ken squier#ned jarrett chris economaki#mike joy dave despain david hobbs#chris economaki#8.1 / 21#12.0 million
1990#cbs#ken squier#ned jarrett chris economaki#mike joy dave despain david hobbs#chris economaki#7.3 / 20#10.5 million
1991#cbs#ken squier#ned jarrett david hobbs#mike joy dave despain chris economaki#chris economaki#7.6 / 20#10.9 million
1992#cbs#ken squier#ned jarrett neil bonnett#mike joy david hobbs chris economaki#chris economaki#9.2 / 25#13.4 million
1993#cbs#ken squier#ned jarrett neil bonnett#mike joy david hobbs chris economaki#chris economaki#8.4 / 23#12.7 million
1994#cbs#ken squier#ned jarrett chris economaki#mike joy david hobbs dick berggren#chris economaki#9.6 / 26#13.6 million
1995#cbs#ken squier#ned jarrett richard petty#mike joy david hobbs dick berggren#ken squier#7.8 / 20#11.4 million
1996#cbs#ken squier#ned jarrett buddy baker#mike joy david hobbs dick berggren#ken squier#9.2 / 24#13.9 million
1997#cbs#ken squier#ned jarrett buddy baker#mike joy dick berggren ralph sheheen#ken squier#8.6 / 23#12.8 million
1998#cbs#mike joy#ned jarrett buddy baker#dick berggren ralph sheheen bill stephens#ken squier#8.6 / 23#13.0 million
1999#cbs#mike joy#ned jarrett buddy baker#dick berggren ralph sheheen bill stephens#greg gumbel ken squier#9.6 / 25#12.9 million
2000#cbs#mike joy#ned jarrett buddy baker#dick berggren ralph sheheen bill stephens#ken squier#8.4 / 22#12.9 million
