polling firm#date of polling#link#liberal#green
angus reid#october 4–5 , 2011#pdf#37#3
ekos#october 3–5 , 2011#pdf#37.7#5.9
forum research#october 4 , 2011#html#37#3
angus reid#october 3–4 , 2011#pdf#33#5
abacus data#october 3–4 , 2011#html#37#4
ekos#october 2–4 , 2011#pdf#39.0#6.6
nanos research#october 2–3 , 2011#pdf#40.1#2.8
ekos#october 2–3 , 2011#pdf#39.1#6.0
nanos research#october 1–3 , 2011#pdf#37.7#2.1
ipsos reid#september 30 – october 3 , 2011#pdf#41#3
nanos research#september 30 – october 2 , 2011#pdf#35.9#1.2
ekos#september 29 – october 2 , 2011#pdf#37.8#7.3
nanos research#september 29 – october 1 , 2011#pdf#36.5#1.9
nanos research#september 28–30 , 2011#pdf#38.0#1.8
angus reid#september 28–30 , 2011#pdf#33#6
leger marketing#september 28–29 , 2011#pdf#32#5
nanos research#september 28–29 , 2011#pdf#37.7#2.0
environics#september 26–28 , 2011#html#35#3
abacus data#september 23–25 , 2011#pdf#33#6
ekos#september 21–25 , 2011#pdf#34.9#7.6
forum research#september 22–23 , 2011#html#35#5
angus reid#september 13–15 , 2011#html#32#6
leger marketing#september 12–15 , 2011#pdf#33#5
abacus data#september 9–12 , 2011#html#32#6
nanos research#september 10–11 , 2011#pdf#38.1#2.7
ipsos reid#september 7–11 , 2011#html#38#1
harris - decima#august 25 – september 4 , 2011#html#40#6
nanos research#august 30 – september 1 , 2011#pdf#31.9#4.1
forum research#august 29–30 , 2011#html#30#7
angus reid#august 25–28 , 2011#pdf#31#6
nanos research#august 10–13 , 2011#pdf#37.6#3.4
ipsos reid#july 29 – august 4 , 2011#html#36#3
forum research#july 27–28 , 2011#html#28#7
ipsos reid#june 7 – july 7 , 2011#html#31#5
forum research#june 21–22 , 2011#html#26#8
ipsos reid#may 17 – june 9 , 2011#html#34#6
nanos research#may 14–15 , 2011#pdf#34#5
nanos research#march 8–11 , 2011#pdf#35#4
nanos research#january 31 – february 3 , 2011#pdf#39#5
ipsos reid#january 20 , 2011#html#35#9
ipsos reid#november 18 , 2010#html#32#7
angus reid#september 28 , 2010#pdf#29#8
ipsos reid#august 21 , 2010#html#35#11
ipsos reid#june 19 , 2010#html#37#11
nanos research#february 9–10 , 2010#pdf#41.4#7.9
ipsos reid#december 13 , 2009#html#38#10
angus reid#december 4 , 2009#pdf#27#11
nanos research#october 24–25 , 2009#pdf#36.6#9.8
environics#october 2009#html#32#11
environics#june 2009#html#44#8
environics#april 2009#html#44#11
environics#january 2009#html#45#11
environics#november 2008#html#35#13
environics#june 2008#html#41#12
environics#march 2008#html#38#12
environics#january 2008#html#45#2
environics#november 2007#html#44#3
election 2007#october 10 , 2007#html#42.3#8.0
