athlete#nationality#3.60#3.80#3.95#result
bob richards#united states#-#-#o#4.55 or
don laz#united states#-#-#o#4.50
ragnar lundberg#sweden#-#-#o#4.40
petro denysenko#soviet union#-#-#o#4.40
valto olenius#finland#-#-#-#4.30
bunkichi sawada#japan#-#o#xxo#4.20
volodymyr brazhnyk#soviet union#-#o#o#4.20
viktor knyazev#soviet union#-#o#o#4.20
george mattos#united states#-#-#o#4.20
erkki kataja#finland#-#-#o#4.10
tamás homonnay#sweden#-#o#o#4.10
lennart lind#hungary#-#o#o#4.10
milan milakov#yugoslavia#-#o#xo#4.10
rigas efstathiadis#greece#-#o#o#3.95
torfy bryngeirsson#iceland#-#o#o#3.95
erling kaas#norway#-#o#xxx#3.80
theodosios balafas#greece#o#o#xxx#3.80
jukka piironen#finland#-#xo#xx#3.80
zeno dragomir#romania#-#xo#xx#3.80
