year#domestic passengers#international passengers#total passengers#change
1999#2803 , 907#6760 , 931#9564 , 028#+ 2.2%
2000#3042 , 914#6967 , 234#10010 , 148#+ 4.7%
2001#2999 , 672#7031 , 246#10030 , 918#+ 0.2%
2002#2747 , 862#6862 , 025#9609 , 887#âˆ’4.2%
2003#2684 , 618#7026 , 302#9710 , 920#+ 1.1%
2004#2836 , 852#7893 , 125#10729 , 977#+ 10.5%
2005#2804 , 304#8326 , 285#11130 , 589#+ 3.7%
2006#2927 , 627#9220 , 154#12147 , 781#+ 9.1%
2007#2875 , 289#10215 , 455#13090 , 744#+ 7.8%
2008#2700 , 350#10726 , 551#13426 , 901#+ 2.2%
2009#2372 , 844#10218 , 762#12591 , 606#âˆ’6.3%
2010#2208 , 521#10674 , 878#12883 , 399#+ 2.2%
2011#2707 , 044#12158 , 827#14865 , 871#+ 15.5%
2012#2693 , 151#12165 , 064#14858 , 215#âˆ’0.1%
