day#stage#time (gmt)#name#length#winner#time#avg. spd#rally leader
1 (30 jan)#ss1#08:13#glenboy 1#22.25km#jari - matti latvala#12:44.0#104.8km / h#jari - matti latvala
1 (30 jan)#ss2#09:01#cavan 1#15.09km#sébastien loeb#8:31.5#106.2km / h#urmo aava
1 (30 jan)#ss3#09:42#aughnasheelan 1#25.19km#sébastien loeb#14:35.2#103.6km / h#urmo aava
1 (30 jan)#ss4#13:02#glenboy 2#22.25km#sébastien loeb#11:37.4#114.9km / h#sébastien loeb
1 (30 jan)#ss5#13:50#cavan 2#15.09km#sébastien loeb#7:40.5#118.0km / h#sébastien loeb
1 (30 jan)#ss6#14:31#aughnasheelan 2#25.19km#sébastien loeb#13:44.6#110.0km / h#sébastien loeb
1 (30 jan)#ss7#18:54#murley#24.70km#stage cancelled#stage cancelled#stage cancelled#sébastien loeb
1 (30 jan)#ss8#19:39#fardross#14.77km#stage cancelled#stage cancelled#stage cancelled#sébastien loeb
2 (31 jan)#ss9#08:13#sloughan glen 1#27.76km#sébastien loeb#14:43.3#113.1km / h#sébastien loeb
2 (31 jan)#ss10#09:06#ballinamallard 1#25.46km#sébastien loeb#13:02.1#117.2km / h#sébastien loeb
2 (31 jan)#ss11#09:49#tempo 1#13.46km#sébastien loeb#7:33.1#106.9km / h#sébastien loeb
2 (31 jan)#ss12#13:57#sloughan glen 2#27.76km#mikko hirvonen#14:33.9#114.4km / h#sébastien loeb
2 (31 jan)#ss13#14:50#ballinamallard 2#25.46km#sébastien loeb#12:51.4#118.8km / h#sébastien loeb
2 (31 jan)#ss14#15:33#tempo 2#13.46km#sébastien loeb#7:30.1#107.7km / h#sébastien loeb
3 (1 feb)#ss15#08:35#geevagh#11.48km#mikko hirvonen#6:11.3#111.3km / h#sébastien loeb
3 (1 feb)#ss16#09:00#arigna#10.88km#sébastien loeb#6:03.6#107.7km / h#sébastien loeb
3 (1 feb)#ss17#09:51#lough gill#13.51km#mikko hirvonen#6:27.0#125.7km / h#sébastien loeb
3 (1 feb)#ss18#12:09#donegal bay#14.47km#mikko hirvonen#8:09.7#106.4km / h#sébastien loeb
