player#touchdowns (5 points)#extra points 1 point#field goals (5 points)#safeties (2 points)#total points
albert herrnstein#26#1#0#0#131
james lawrence#12#53#0#0#113
willie heston#15#0#0#0#75
joe maddock#13#0#0#0#65
paul jones#11#0#0#0#55
everett sweeley#1#22#4#0#47
william cole#4#13#0#0#33
william palmer#5#0#0#0#25
herb graver#5#3#0#0#23
ross kidston#4#0#0#0#20
paul dickey#3#0#0#0#10
dan mcgugin#2#0#0#0#10
curtis redden#2#0#0#0#10
harold baker#1#0#0#0#5
charles carter#1#0#0#0#5
james forrest#1#0#0#0#5
na#0#0#0#1#2
