year#tournaments#titles#hardcourt w - l#clay w - l#grass w - l#carpet w - l#overall w - l#win %#year end ranking
1973#16#0#0 - 0#17 - 9#2 - 2#4 - 5#23 - 16#59.0%#n / a
1974#20#1#0 - 0#16 - 6#8 - 4#7 - 9#31 - 19#62.0%#9
1975#24#4#15 - 3#31 - 7#9 - 3#31 - 8#86 - 21#80.4%#4
1976#17#2#4 - 3#1 - 3#9 - 2#25 - 7#39 - 15#72.2%#5
1977#21#6#9 - 6#10 - 1#7 - 2#37 - 8#63 - 17#78.8%#3
1978#20#11#18 - 4#2 - 1#13 - 0#47 - 4#80 - 9#89.9%#2
1979#23#10#18 - 4#3 - 1#14 - 2#60 - 6#88 - 12#88.0%#1
1980#24#11#27 - 6#5 - 0#12 - 4#40 - 5#84 - 15#85.7%#3
1981#23#10#18 - 2#7 - 2#21 - 4#42 - 4#88 - 12#88.0%#3
1982#18#15#14 - 1#15 - 0#21 - 1#40 - 1#90 - 3#96.8%#1
1983#17#16#22 - 0#12 - 1#19 - 0#33 - 0#86 - 1#98.8%#1
1984#15#13#21 - 0#16 - 0#27 - 1#18 - 1#78 - 2#97.5%#1
1985#17#12#19 - 3#19 - 1#29 - 0#17 - 1#84 - 5#94.4%#1
1986#17#14#12 - 0#15 - 2#13 - 0#49 - 1#90 - 3#96.8%#1
1987#12#4#15 - 2#13 - 3#17 - 2#11 - 1#56 - 8#87.5%#2
1988#16#9#11 - 3#17 - 2#12 - 1#30 - 1#70 - 7#90.9%#2
1989#16#8#30 - 2#6 - 2#17 - 1#20 - 3#73 - 7#91.3%#2
1990#13#6#12 - 2#14 - 3#13 - 0#13 - 2#52 - 7#88.1%#3
1991#14#5#11 - 1#6 - 3#15 - 1#21 - 4#53 - 9#85.5%#4
1992#12#4#9 - 1#1 - 1#6 - 2#22 - 4#38 - 8#82.6%#5
1993#13#5#10 - 2#2 - 1#12 - 2#22 - 3#46 - 8#85.2%#3
1994#15#1#3 - 2#7 - 5#8 - 2#15 - 5#33 - 14#70.2%#8
2002#1#0#0 - 0#0 - 0#1 - 1#0 - 0#1 - 1#50.0%#nr
2003#0#0#0 - 0#0 - 0#0 - 0#0 - 0#0 - 0#00.0%#nr
2004#5#0#0 - 0#0 - 3#2 - 2#0 - 0#2 - 5#28.6%#376
2005#1#0#0 - 0#0 - 0#0 - 1#0 - 0#0 - 1#00.0%#nr
