place#player#country#score#to par
1#jack nicklaus#united states#63 + 71 = 134#- 6
t2#isao aoki#japan#68 + 68 = 136#- 4
t2#keith fergus#united states#66 + 70 = 136#- 4
t2#lon hinkle#united states#66 + 70 = 136#- 4
t2#mike reid#united states#69 + 67 = 136#- 4
6#mark hayes#united states#66 + 71 = 137#- 3
t7#pat mcgowan#united states#69 + 69 = 138#- 2
t7#tom weiskopf#united states#63 + 75 = 138#- 2
t9#peter jacobsen#united states#70 + 69 = 139#- 1
t9#tom watson#united states#71 + 68 = 139#- 1
