location#control#type#enrollment#founded
wright - patterson afb , ohio#public#dru#719#1919
pasadena , california#private#ru / vh#2231#1891
san luis obispo , california#public#master 's l#18762#1901
pomona , california#public#master 's l#22273#1938
potsdam , ny#private#ru / h#3187#1896
golden , colorado#public#ru / h#4296#1874
colorado springs , colorado#private#dru#30020#1965
melbourne , florida#private#dru#8985#1958
atlanta , georgia#public#ru / vh#20487#1885
chicago , illinois#private#ru / h#7787#1890
cambridge , massachusetts#private#ru / vh#10894#1861
houghton , michigan#public#ru / h#6957#1885
rolla , missouri#public#ru / h#7521#1870
butte , montana#public#bac / diverse#2694#1900
newark , new jersey#private#ru / h#9558#1881
socorro , new mexico#public#master 's m#1921#1889
klamath falls , oregon#public#bac / diverse#3927#1947
brooklyn , new york#private#ru / h#4514#1854
troy , new york#private#ru / vh#7521#1824
henrietta , new york#private#master 's l#17652#1829
terre haute , indiana#private#spec / engg#1970#1874
rapid city , south dakota#public#spec / engg#2354#1885
hoboken , new jersey#private#ru / h#5260#1870
lubbock , texas#public#ru / h#32327#1923
menomonie , wisconsin#public#master 's l#9339#1891
blacksburg , virginia#public#ru / vh#30739#1872
worcester , massachusetts#private#dru#5071#1865
