alpina model#bmw donor model#alpina engine#power#torque#production
a1 / 3#e21 320#a1 / 3#kw (ps; bhp) 5800#n·m (ft·lbf) 4000#1975–1977
a2 / 3#e21 320#a2 / 3#kw (ps; bhp) 6900#n·m (ft·lbf) 5500#1975–1977
a4 / 3#e21 320i#a4 / 3#kw (ps; bhp) 6700#n·m (ft·lbf) 5500#1976–1977
a4 s / 3#e21 320i#a4 s / 3#kw (ps; bhp) 6700#n·m (ft·lbf) 5500#1976–1977
c1 2 , 3#e21 323i#c1#kw (ps; bhp) 6000#n·m (ft·lbf) 4500#1980–1983
b6 2 , 8#e21 323i#b6#kw (ps; bhp) 6200#n·m (ft·lbf) 4500#1978–1981
b6 2 , 8#e21 323i#b6#kw (ps; bhp) 6000#n·m (ft·lbf) 5000#1981–1983
c1 2 , 3 / 1#e30 323i#c1 / 1#kw (ps; bhp) 6000#n·m (ft·lbf) 5000#1983–1985
c1 2 , 5#e30 325i#c2 / 3#kw (ps; bhp) 5800#n·m (ft·lbf) 5000#1983–1985
c2 2 , 5#e30 325i#c2#kw (ps; bhp) 5800#n·m (ft·lbf) 4800#1986 - 1986
c2 2 , 7#e30 325i#c2 / 1#kw (ps; bhp) 5800#n·m (ft·lbf) 4500#1986–1987
c2 2 , 7#e30 325i#c2 / 2#kw (ps; bhp) 6000#n·m (ft·lbf) 4800#1987 - 1987
b3 2 , 7#e30 325i#c2 / 2#kw (ps; bhp) 6000#n·m (ft·lbf) 4800#1987–1992
b6 2 , 8 / 1#e30 323i / 325i#b6 / 2#kw (ps; bhp) 6100#n·m (ft·lbf) 5000#1984–1986
b6 3 , 5#e30 323i / 325i#b10 / 2#kw (ps; bhp) 6000#n·m (ft·lbf) 4000#1985–1987
b6 3 , 5#e30 325i#b10 / 3#kw (ps; bhp) 5900#n·m (ft·lbf) 4000#1986–1987
b6 3 , 5#e30 325i#b10 / 5#kw (ps; bhp) 5900#n·m (ft·lbf) 4000#1987–1990
b6 3 , 5 s#e30 m3#b10 / 5#kw (ps; bhp) 5900#n·m (ft·lbf) 4000#1987–1990
b6 2 , 8#e36 325i#e1#kw (ps; bhp) 5900#n·m (ft·lbf) 4700#1992–1993
b3 3 , 0#e36 325i#e3#kw (ps; bhp) 5700#n·m (ft·lbf) 4400#1993–1996
b3 3 , 2#e36 328i#e4#kw (ps; bhp) 5800#n·m (ft·lbf) 4400#1996–1999
b8 4 , 6#e36 328i#f2 / 1#kw (ps; bhp) 5700#n·m (ft·lbf) 3900#1995–1998
b3 3 , 3#e46 328i#e4 / 4#kw (ps; bhp) 6200#n·m (ft·lbf) 4500#1999–2002
b3 3 , 3 allrad#e46 330ix#e4 / 8#kw (ps; bhp) 6200#n·m (ft·lbf) 4500#2001–2005
b3 s#e46 330i#e5 / 1#kw (ps; bhp) 6300#n·m (ft·lbf) 4800#2002–2006
b3 bi - turbo#e90 / e91 / e92 / e93 335i#k2#kw (ps; bhp) 5500#n·m (ft·lbf) 3800#2007–2010
b3 bi - turbo allrad#e90 / e91 / e92 335xi#k2#kw (ps; bhp) 5500#n·m (ft·lbf) 3800#2008–2010
b7 turbo#e12 528i#b7#kw (ps; bhp) 6000#n·m (ft·lbf) 3000#1978–1982
b7 s turbo#e12 528i#b7 s#kw (ps; bhp) 5800#n·m (ft·lbf) 3000#1981–1982
b9 3 , 5#e28 528i#b9#kw (ps; bhp) 5700#n·m (ft·lbf) 4000#1981–1983
b9 3 , 5 / 1#e28 528i#b9 / 1#kw (ps; bhp) 5700#n·m (ft·lbf) 4000#1983–1985
b7 turbo / 1#e28 528i / 535i#b7 / 1#kw (ps; bhp) 5800#n·m (ft·lbf) 3000#1984–1987
b10 3 , 5#e28 535i#b10#kw (ps; bhp) 5800#n·m (ft·lbf) 4000#1985–1987
b7 turbo / 1#e28 535i#b7 / 3#kw (ps; bhp) 5700#n·m (ft·lbf) 2400#1986–1987
b10 3 , 5 / 1#e34 535i#b11 / 3#kw (ps; bhp) 6000#n·m (ft·lbf) 4000#1988–1992
