date#tournament#winning score#margin of victory#runner (s) - up
sep 30 , 1962#sahara invitational#- 14 (69 + 67 + 66 + 68 = 270)#3 strokes#don january
oct 28 , 1962#orange county open invitational#- 17 (68 + 66 + 64 + 69 = 267)#playoff#bob rosburg
nov 18 , 1962#mobile sertoma open invitational#- 15 (67 + 68 + 68 + 70 = 273)#7 strokes#doug sanders
may 27 , 1963#memphis open invitational#- 10 (67 + 67 + 68 + 68 = 270)#playoff#tommy aaron
jan 19 , 1964#bing crosby national pro - am#- 4 (70 + 68 + 70 + 76 = 284)#3 strokes#gay brewer , bo wininger
jun 7 , 1964#thunderbird classic#- 12 (68 + 67 + 70 + 71 = 276)#1 stroke#mike souchak
jun 14 , 1964#buick open invitational#- 11 (69 + 66 + 72 + 70 = 277)#1 stroke#dow finsterwald
jun 28 , 1964#cleveland open#- 14 (65 + 70 + 70 + 65 = 270)#playoff#arnold palmer
jul 10 , 1964#the open championship#- 9 (73 + 68 + 68 + 70 = 279)#5 strokes#jack nicklaus
jun 6 , 1965#buick open invitational#- 8 (71 + 70 + 69 + 70 = 280)#2 strokes#johnny pott
aug 23 , 1965#carling world open#- 5 (71 + 71 + 67 + 70 = 279)#2 strokes#arnold palmer
may 29 , 1966#oklahoma city open invitational#- 17 (69 + 68 + 69 + 65 = 271)#6 strokes#tom weiskopf
