ngc number#object type#constellation#right ascension ( j2000 )#declination ( j2000 )
2014#association of stars#dorado#05h32m24s#°41′
2020#diffuse nebula#dorado#05h33m12s#°43′
2021#association of stars#dorado#05h33m30s#°27′
2022#planetary nebula#orion#05h42m06.2s#°05′11″
2023#diffuse nebula#orion#05h41m37.9s#°15′52″
2024#emission nebula#orion#05h41m43s#°51′
2025#open cluster#mensa#05h32m33s#°43′
2043#open cluster#mensa#05h35m56.7s#°04′23″
2068#diffuse nebula#orion#05h46m46.7s#°00′50″
2070#open cluster#dorado#05h38m42s#°06′
2080#open cluster#dorado#05h39m44s#°39′
2090#spiral galaxy#columba#05h47m02.3s#°15′05″
2099#open cluster#auriga#05h52m19s#°33′
2100#open cluster#dorado#05h42m09s#°12′43″
