state#membership#population#% lds#wards#branches#total congregations
alabama#35708#4822 , 023#0.74%#42#33#78
alaska#33033#731449#4.52%#55#28#83
arizona#414261#6553 , 255#6.32%#719#86#821
arkansas#28667#2949 , 131#0.97%#38#26#64
california#777061#38041 , 430#2.04%#1184#164#1348
colorado#147707#5187 , 582#2.85%#272#31#303
connecticut#15273#3590 , 347#0.43%#28#5#33
delaware#5080#917092#0.55%#9#3#12
district of columbia#2485#632323#0.39%#2#1#3
florida#143057#19317 , 568#0.74%#186#50#235
georgia#80548#9919 , 945#0.81%#111#40#151
hawaii#72459#1392 , 313#5.20%#124#11#135
idaho#422345#1595 , 728#26.47%#999#82#1097
illinois#56531#12875 , 255#0.44%#93#34#127
indiana#42147#6537 , 334#0.64%#68#31#99
iowa#26001#3074 , 186#0.85%#41#28#69
kansas#35627#2885 , 905#1.23%#55#20#76
kentucky#33455#4380 , 415#0.76%#44#33#77
louisiana#29366#4601 , 893#0.64%#34#19#53
maine#10778#1329 , 192#0.81%#17#10#27
maryland#43227#5884 , 563#0.73%#66#14#80
massachusetts#25996#6646 , 144#0.39%#39#12#51
michigan#43178#9883 , 360#0.44%#64#39#103
minnesota#31298#5379 , 139#0.58%#56#24#77
mississippi#21704#2984 , 926#0.73%#28#16#44
missouri#67943#6021 , 988#1.13%#111#37#151
montana#47854#1005 , 141#4.76%#78#42#120
nebraska#23688#1855 , 525#1.28%#41#20#61
nevada#178737#2788 , 931#6.41%#295#29#324
new hampshire#8335#1320 , 718#0.63%#15#5#20
new jersey#32744#8864 , 590#0.37%#37#23#60
new mexico#69365#2085 , 538#3.33%#89#47#138
new york#79933#19570 , 261#0.41%#88#64#152
north carolina#79835#9752 , 073#0.82%#115#39#154
north dakota#9122#699628#1.30%#8#9#19
ohio#59662#11544 , 225#0.52%#99#30#129
oklahoma#45008#3814 , 820#1.18%#59#25#84
oregon#150630#3899 , 353#3.86%#253#50#305
pennsylvania#51171#12763 , 536#0.40%#77#33#110
rhode island#4054#1050 , 292#0.37%#6#1#7
south carolina#38676#4723 , 723#0.82%#49#14#67
south dakota#10385#833354#1.25%#10#23#33
tennessee#47343#6456 , 243#0.73%#73#30#103
texas#315895#26059 , 203#1.21%#461#129#608
utah#1951 , 937#2855 , 287#68.36%#4481#334#4870
vermont#4596#626011#0.73%#7#5#12
virginia#92407#8185 , 867#1.13%#157#40#196
washington#276837#6897 , 012#4.01%#463#65#538
west virginia#17060#1855 , 413#0.92%#25#12#37
wisconsin#25686#5726 , 398#0.45%#43#26#69
wyoming#65485#576412#11.36%#134#21#155
