name#corporate name#regional district#incorporation date (city)#population (2011)#population (2006)#change (%)#area (kmâ²)#population density
abbotsford#abbotsford , city of#fraser valley#december 12 , 1995#133497#124258#7.4#375.55#355.5
armstrong#armstrong , city of#north okanagan#march 31 , 1913#4815#4241#13.5#5.19#928
burnaby#burnaby , city of#greater vancouver#september 22 , 1892#223218#202799#10.1#90.61#2463.5
campbell river#campbell river , city of#strathcona#june 24 , 1947#31186#29572#5.5#143.12#217.9
castlegar#castlegar , city of#central kootenay#january 1 , 1974#7816#7259#7.7#19.58#399.3
chilliwack#chilliwack , city of#fraser valley#april 26 , 1873#77936#69217#12.6#261.5#298
colwood#colwood , city of#capital#june 24 , 1985#16093#14687#9.6#17.66#911.2
coquitlam#coquitlam , city of#greater vancouver#july 25 , 1891#126840#114565#10.7#122.3#1037.1
courtenay#courtenay , the corporation of the city of#comox valley#january 1 , 1915#24099#22021#9.4#29.38#820.2
cranbrook#cranbrook , the corporation of the city of#east kootenay#november 1 , 1905#19319#18329#5.4#31.95#604.7
dawson creek#dawson creek , the corporation of the city of#peace river#may 26 , 1936#11583#10994#5.4#24.37#475.4
duncan#duncan , the corporation of the city of#cowichan valley#march 4 , 1912#4932#4986#- 1.1#2.07#2381.7
enderby#enderby , the corporation of the city of#north okanagan#march 1 , 1905#2932#2828#3.7#4.26#687.7
fernie#fernie , the corporation of the city of#east kootenay#july 28 , 1904#4448#4217#5.5#14.83#299.8
fort st. john#fort st. john , city of#peace river#december 31 , 1947#18609#17402#6.9#22.69#820.2
grand forks#grand forks , the corporation of the city of#kootenay boundary#april 15 , 1897#3985#4036#- 1.3#10.43#382
greenwood#greenwood , the corporation of the city of#kootenay boundary#july 12 , 1897#708#625#13.3#2.42#292.7
kamloops#kamloops , city of#thompson - nicola#october 17 , 1967#85678#80376#6.6#299.23#286.3
kelowna#kelowna , city of#central okanagan#may 4 , 1905#117312#107035#9.6#211.82#553.8
kimberley#kimberley , city of#east kootenay#march 29 , 1944#6652#6139#8.4#60.62#109.7
langford#langford , city of#capital#december 8 , 1992#29228#22459#30.1#39.94#731.9
langley#langley , city of#greater vancouver#march 15 , 1955#25081#23606#6.2#10.22#2454.6
merritt#merritt , city of#thompson - nicola#april 1 , 1911#7113#6998#1.6#24.82#286.6
nanaimo#nanaimo , city of#nanaimo#december 24 , 1874#83810#78692#6.5#91.3#918
nelson#nelson , the corporation of the city of#central kootenay#march 18 , 1897#10230#9258#10.5#11.93#857.7
new westminster#new westminster , the corporation of the city of#greater vancouver#july 16 , 1860#65976#58549#12.7#15.63#4222.2
north vancouver#north vancouver , the corporation of the city of#greater vancouver#august 10 , 1891#48196#45165#6.7#11.83#4073.8
parksville#parksville , city of#nanaimo#june 19 , 1945#11977#10993#9#14.44#829.6
penticton#penticton , the corporation of the city of#okanagan - similkameen#january 1 , 1909#32877#31909#3#42.1#780.9
pitt meadows#pitt meadows , city of#greater vancouver#april 25 , 1914#17736#15623#13.5#86.51#205
port alberni#port alberni , city of#alberni - clayoquot#october 28 , 1967#17743#17548#1.1#19.76#897.9
port coquitlam#port coquitlam , the corporation of the city of#greater vancouver#march 7 , 1913#55958#52687#6.2#29.17#1918.3
port moody#port moody , city of#greater vancouver#march 11 , 1913#32975#27512#19.9#25.89#1273.8
powell river#powell river , the corporation of the city of#powell river#october 15 , 1955#13165#12957#1.6#28.91#455.3
prince george#prince george , city of#fraser - fort george#march 6 , 1915#71974#70981#1.4#318.26#226.1
prince rupert#prince rupert , city of#skeena - queen charlotte#march 10 , 1910#12508#12815#- 2.4#54.93#227.7
quesnel#quesnel , city of#cariboo#march 21 , 1928#10007#9326#7.3#35.38#282.8
revelstoke#revelstoke , city of#columbia shuswap#march 1 , 1899#7139#7230#- 1.3#40.76#175.1
richmond#richmond , city of#greater vancouver#november 10 , 1879#190473#174461#9.2#129.27#1473.5
rossland#rossland , the corporation of the city of#kootenay boundary#march 18 , 1897#3556#3278#8.5#59.79#59.5
salmon arm#salmon arm , city of#columbia shuswap#may 15 , 1905#17464#16012#9.1#155.28#112.5
surrey#surrey , city of#greater vancouver#november 10 , 1879#468251#394976#18.6#316.41#1479.9
terrace#terrace , city of#kitimat - stikine#december 31 , 1927#11486#11320#1.5#57.36#200.3
trail#trail , city of#kootenay boundary#june 14 , 1901#7681#7237#6.1#34.93#219.9
vancouver#vancouver , city of#greater vancouver#april 6 , 1886#603502#578041#4.4#114.97#5249.1
vernon#vernon , the corporation of the city of#north okanagan#december 30 , 1892#38150#35979#6#95.76#398.4
victoria#victoria , the corporation of the city of#capital#august 2 , 1862#80017#78057#2.5#19.47#4109.4
white rock#white rock , the corporation of the city of#greater vancouver#april 15 , 1957#19339#18755#3.1#5.13#3773.5
williams lake#williams lake , city of#cariboo#march 15 , 1929#10832#10744#0.8#33.13#327
