res#record#opponent#method#event#round#time#location
loss#68–18 (1)#mike kyle#ko (punch)#cfa 11: kyle vs. wiuff 2#1#0:21#coral gables , florida , united states
loss#68–17 (1)#ryan martinez#ko (punches)#bellator 93#1#0:18#lewiston , maine , united states
loss#68–16 (1)#maro perak#decision (split)#abu dhabi warriors 1#3#3:00#abu dhabi , united arab emirates
loss#68–15 (1)#attila vegh#ko (punches)#bellator 73#1#0:25#tunica , mississippi , united states
win#68–14 (1)#tim carpenter#decision (unanimous)#bellator 72#3#5:00#tampa , florida , united states
win#67–14 (1)#chris davis#ko (punches)#bellator 71#1#4:12#chester , west virginia , united states
win#66–14 (1)#anthony gomez#decision (unanimous)#bellator 60#3#5:00#hammond , indiana , united states
win#65–14 (1)#christian m'pumbu#decision (unanimous)#bellator 55#3#5:00#yuma , arizona , united states
win#64–14 (1)#nick baker#tko (punches)#extreme challenge 183#1#2:11#black river falls , wisconsin , united states
win#63–14 (1)#richard white#submission (punches)#extreme challenge 170#1#3:20#minneapolis , minnesota , united states
loss#62–14 (1)#tim hague#ko (punch)#amma 5: uprising#1#1:50#edmonton , alberta , canada
win#62–13 (1)#josh barnes#tko (punches)#moosin : god of martial arts#1#0:34#worcester , massachusetts , united states
win#61–13 (1)#jeff monson#decision (split)#cfx / xkl : mayhem in minneapolis#3#5:00#minneapolis , minnesota , united states
win#60–13 (1)#chuck hoskins#decision (unanimous)#combat usa : 18#3#5:00#onalaska , wisconsin , united states
nc#59 - 13 (1)#mike kyle#nc (punch after the bell)#kotc : vengeance#2#5:00#mescalero , new mexico , united states
win#59–13#justin newcomb#tko (punches)#ifc : wiuff vs. newcomb#1#1:01#green bay , wisconsin , united states
win#58–13#waylon goldsmith#submission (armbar)#fight nation#1#0:20#rochester , minnesota , united states
win#57–13#tracy willis#submission (punches)#ifc : caged combat#2#1:46#british columbia , canada
win#56–13#chris barden#submission (punches)#extreme challenge 128#1#0:41#rochester , minnesota , united states
loss#55–13#stanislav nedkov#tko (punches)#world victory road presents : sengoku 8#3#0:42#tokyo , japan
win#55 - 12#steve pilkington#tko (punches)#extreme challenge 119#1#4:48#rochester , minnesota , united states
loss#54–12#muhammed lawal#tko (punches)#world victory road presents : sengoku 5#1#2:11#tokyo , japan
win#54–11#kazuyuki fujita#ko (punches)#world victory road presents : sengoku 3#1#1:24#saitama , japan
win#53–11#chris tuchscherer#decision (unanimous)#yamma pit fighting 1#3#5:00#atlantic city , new jersey , united states
win#52–11#ricco rodriguez#decision (unanimous)#yamma pit fighting 1#1#5:00#atlantic city , new jersey , united states
win#51–11#marcelo donald pereira#decision (unanimous)#yamma pit fighting 1#1#5:00#atlantic city , new jersey , united states
win#50–11#jesse veium#tko (punches)#ifo : fireworks in the cage iv#1#3:25#las vegas , nevada , united states
win#49–11#travis fulton#tko (punches)#smash : mma#2#3:27#virginia , united states
win#48–11#wade hamilton#tko (punches)#wfc : downtown throwdown#1#0:50#minneapolis , minnesota , united states
