season#winner#team#position#win 
2012–13#tyler johnson#syracuse crunch#c#1
2011–12#cory conacher#norfolk admirals#lw#1
2010–11#corey locke#binghamton senators#c#1
2009–10#keith aucoin#hershey bears#c#1
2008–09#alexandre giroux#hershey bears#lw#1
2007–08#jason krog#chicago wolves#c#1
2006–07#darren haydar#chicago wolves#rw#1
2005–06#donald maclean#grand rapids griffins#c#1
2004–05#jason spezza#binghamton senators#c#1
2003–04#jason labarbera#hartford wolf pack#g#1
2002–03#jason ward#hamilton bulldogs#rw#1
2001–02#eric boguniecki#worcester icecats#c#1
2000–01#derek armstrong#hartford wolf pack#lw#1
1999–00#martin brochu#portland pirates#g#1
1998–99#randy robitaille#providence bruins#c#1
1997–98#steve guolla#kentucky thoroughblades#c#1
1996–97#jean - francois labbe#hershey bears#g#1
1995–96#brad smyth#carolina monarchs#rw#1
1994–95#steve larouche#prince edward island senators#c#1
1993–94#rich chernomaz#st. john 's maple leafs#rw#1
1992–93#don biggs#binghamton rangers#c#1
1991–92#john anderson#new haven nighthawks#lw#1
1990–91#kevin todd#utica devils#c#1
1989–90#paul ysebaert#utica devils#lw#1
1988–89#stephan lebeau#sherbrooke canadiens#c#1
1987–88#jody gage#rochester americans#rw#1
1986–87#tim tookey#hershey bears#c#1
1985–86#paul gardner#rochester americans#c#2
1984–85#paul gardner#binghamton whalers#c#1
1983–84#garry lariviere#st. catharines saints#d#1
1983–84#mal davis#rochester americans#rw#1
1982–83#ross yates#binghamton whalers#rw#1
1981–82#mike kaszycki#new brunswick hawks#f#1
1980–81#pelle lindbergh#maine mariners#g#1
1979–80#norm dube#nova scotia voyageurs#lw#1
1978–79#rocky saganiuk#new brunswick hawks#rw#1
1977–78#blake dunlop#maine mariners#f#1
1976–77#doug gibson#rochester americans#c#2
1975–76#ron andruff#nova scotia voyageurs#c#1
1974–75#doug gibson#rochester americans#c#1
1973–74#art stratton#rochester americans#c#1
1972–73#bill inglis#cincinnati swords#c#1
1971–72#garry peters#boston braves#c#1
1970–71#fred speck#baltimore clippers#c#1
1969–70#gilles villemure#buffalo bisons#g#2
1968–69#gilles villemure#buffalo bisons#g#1
1967–68#dave creighton#providence reds#c#1
1966–67#mike nykoluk#hershey bears#c#1
1965–66#dick gamble#rochester americans#lw#1
1964–65#art stratton#buffalo bisons#c#1
1963–64#fred glover#cleveland barons#c#3
1962–63#denis dejordy#buffalo bisons#g#1
1961–62#fred glover#cleveland barons#c#2
1960–61#phil maloney#buffalo bisons#c#1
1959–60#fred glover#cleveland barons#c#1
1958–59#rudy migay#rochester americans#c#1
1958–59#bill hicke#rochester americans#rw#1
1957–58#johnny bower#cleveland barons#g#3
1956–57#johnny bower#providence reds#g#2
1955–56#johnny bower#providence reds#g#1
1954–55#ross lowe#springfield indians#d#1
1953–54#george sullivan#hershey bears#c#1
1952–53#eddie olson#cleveland barons#lw#1
1951–52#ray powell#providence reds#c#1
1950–51#ab demarco#buffalo bisons#c#1
1949–50#les douglas#cleveland barons#c#1
1948–49#carl liscombe#providence reds#lw#2
1947–48#carl liscombe#providence reds#lw#1
