actor#character#soap opera#years#duration
agnieszka kotulanka#krystyna lubicz#klan#1997—#17 years
tomasz stockinger#paweł lubicz#klan#1997—#17 years
barbara bursztynowicz#elżbieta chojnicka#klan#1997—#17 years
andrzej grabarczyk#jerzy chojnicki#klan#1997—#17 years
izabela trojanowska#monika ross#klan#1997—#17 years
małgorzata ostrowska - królikowska#grażyna lubicz#klan#1997—#17 years
paulina holtz#agnieszka lubicz#klan#1997—#17 years
kaja paschalska#aleksandra lubicz#klan#1997—#17 years
joanna żółkowska#anna surmacz#klan#1997—#17 years
tomasz bednarek#jacek borecki#klan#1997—#17 years
jacek borkowski#piotr rafalski#klan#1997—#17 years
jerzy kamas#stefan ziętecki#klan#1997—#17 years
piotr swend#maciej lubicz#klan#1997—#17 years
zofia merle#stefania wróbel - malec#klan#1998—#16 years
maria winiarska#alicja marczyńska#klan#1998—#16 years
jan piechociński#feliks nowak#klan#1998—#16 years
piotr cyrwus#ryszard lubicz#klan#1997–2012#15 years
agnieszka kaczorowska#bożena lubicz#klan#1999—#15 years
renata pękul#renata zaburzańska#klan#1999—#15 years
andrzej strzelecki#tadeusz koziełło#klan#1999—#15 years
małgorzata foremniak#zofia stankiewicz - burska#na dobre i na złe#1999—#15 years
dariusz jakubowski#dariusz wójcik#na dobre i na złe#1999—#15 years
marian opania#tadeusz zybert#na dobre i na złe#1999—#15 years
agnieszka wosińska#dorota lubicz#klan#1997–2011#14 years
dorota naruszewicz#beata borecka#klan#1997–2011#14 years
anna powierza#czesława kurzawska#klan#2000—#14 years
katarzyna tlałka#kinga kuczyńska#klan#2000—#14 years
kazimiera utrata#stanisława dorobczuk#klan#2000—#14 years
mirosław jękot#antoni zaburzański#klan#2000—#14 years
dariusz lewandowski#dariusz kurzawski#klan#2000—#14 years
andrzej precigs#julian deptuła#klan#2000—#14 years
teresa lipowska#barbara mostowiak#m jak miłość#2000—#14 years
witold pyrkosz#lucjan mostowiak#m jak miłość#2000—#14 years
joanna koroniewska#małgorzata chodakowska#m jak miłość#2000—#14 years
kacper kuszewski#marek mostowiak#m jak miłość#2000—#14 years
dominika ostałowska#marta budzyńska#m jak miłość#2000—#14 years
rafał mroczek#paweł zduński#m jak miłość#2000—#14 years
marcin mroczek#piotr zduński#m jak miłość#2000—#14 years
katarzyna cichopek#kinga filarska#m jak miłość#2000—#14 years
piotr garlicki#stefan tretter#na dobre i na złe#2000—#14 years
ewa kania#zofia borecka#klan#1998–2002 , 2005—#13 years
andrzej precigs#zbigniew filarski#m jak miłość#2001—#13 years
hanna mikuć#krystyna filarska - marszałek#m jak miłość#2001—#13 years
sławomir holland#aspirant staszek#m jak miłość#2001—#13 years
bartosz opania#witold latoszek#na dobre i na złe#2001—#13 years
grażyna zielińska#maria zbieć#na dobre i na złe#2001—#13 years
marcin troński#bogdan sawicki#klan#1998–2007 , 2009–2012#12 years
włodzimierz matuszak#antoni wójtowicz#plebania#2000–2012#12 years
katarzyna łaniewska#józefina lasek#plebania#2000–2012#12 years
bernadetta machała - krzemińska#krystyna cieplak#plebania#2000–2012#12 years
janusz michałowski#jakub blumental#plebania#2000–2012#12 years
dariusz kowalski#janusz tracz#plebania#2000–2012#12 years
barbara zielińska#zofia grzyb#plebania#2000–2012#12 years
maciej wilewski#franciszek osa osówka#plebania#2000–2012#12 years
stanisław górka#zbigniew sroka#plebania#2000–2012#12 years
maciej damięcki#jan grzyb#plebania#2000–2012#12 years
wojciech błach#jerzy tosiek#plebania#2000–2012#12 years
laura łącz#gabriela wilczyńska#klan#2002—#12 years
krystian domagała#mateusz mostowiak#m jak miłość#2002—#12 years
jacek lenartowicz#jan zawadzki#m jak miłość#2002—#12 years
maja barełkowska#barbara#klan#2000–2011#11 years
wojciech dąbrowski#piotr wojciechowski#plebania#2000–2011#11 years
sylwia wysocka#barbara wojciechowska#plebania#2000–2011#11 years
jerzy rogalski#antoni tosiek#plebania#2000–2011#11 years
joanna pietrońska#hanna piecuch#plebania#2000–2011#11 years
michalina robakiewicz#kamila chojnicka#klan#2003—#11 years
anna mucha#magdalena marszałek#m jak miłość#2003—#11 years
stanisław banasiuk#andrzej kuczyński#klan#2001–2011#10 years
stanisław jaskułka#zenon walencik#plebania#2000–2010#10 years
radosław popłonikowski#józef piecuch#plebania#2000–2010#10 years
jakub tolak#daniel ross#klan#1998–2008#10 years
zygmunt kęstowicz#władysław lubicz#klan#1997–2007#10 years
