date#score#set 1#set 2#total
2 july#0 - 2#12:21#13:21#25:42
2 july#2 - 0#21:19#21:11#42:30
2 july#2 - 1#18:21#23:21#56:55
2 july#0 - 2#16:21#16:21#32:42
2 july#2 - 1#16:21#21:16#52:44
2 july#2 - 0#26:24#21:18#47:42
2 july#0 - 2#20:22#15:21#45:43
2 july#2 - 0#21:10#21:15#42:25
2 july#0 - 2#18:21#10:21#28:42
2 july#0 - 2#14:21#16:21#30:42
2 july#0 - 2#15:21#15:21#30:42
2 july#2 - 1#21:14#19:21#57:50
2 july#2 - 1#18:21#24:22#59:58
2 july#2 - 0#21:12#21:16#42:28
2 july#2 - 0#21:17#21:15#42:32
2 july#2 - 0#21:17#21:10#42:27
