year#maac#overall#regular season results#maac tournament result#ncaa seed#ncaa round
2002 - 2003#8 - 10#13 - 16#7th#quarterfinals#n / a#n / a
2003 - 2004#13 - 5#20 - 10#co - champs#champions#14th#1st
2004 - 2005#15 - 3#22 - 7#champions#runner - up#n / a#n / a
2005 - 2006#16 - 2#23 - 7#champions#champions#14th#1st
2006 - 2007#17 - 1#29 - 6#champions#champions#13th#sweet sixteen
2007 - 2008#18 - 0#32 - 3#champions#champions#7th#2nd
2008 - 2009#16 - 2#29 - 4#champions#champions#12th#1st
2009 - 2010#15 - 3#26 - 8#champions#champions#12th#1st
2010 - 2011#18 - 0#31 - 3#champions#champions#10th#2nd
2011 - 2012#17 - 1#28 - 6#champions#champions#13th#2nd
