episode no#prod no#title#directed by#written by#original uk airdate
1 - 1#2#view from the villa#terry bishop#brian clemens and ralph smart#september 11 , 1960
1 - 2#4#time to kill#ralph smart#brian clemens and ian stuart black#september 18 , 1960
1 - 3#28#josetta#michael truman#ralph smart#september 25 , 1960
1 - 4#16#the blue veil#charles frend#don inglis and ralph smart#october 2 , 1960
1 - 5#17#the lovers#peter graham scott#jo eisinger and doreen montgomery#october 9 , 1960
1 - 7#7#position of trust#ralph smart#jo eisinger#october 23 , 1960
1 - 8#25#the lonely chair#charles frend#john roddick and ralph smart#october 30 , 1960
1 - 9#18#the sanctuary#charles frend#john roddick and ralph smart#november 6 , 1960
1 - 10#9#an affair of state#peter graham scott#oscar brodny#november 13 , 1960
1 - 11#1#the key#seth holt#jack whittingham , story by ralph smart#november 20 , 1960
1 - 12#8#the sisters#seth holt#jo eisinger , story by brian clemens#november 27 , 1960
1 - 13#24#the prisoner#terry bishop#ralph smart and robert stewart#december 4 , 1960
1 - 14#14#the traitor#terry bishop#john roddick#december 11 , 1960
1 - 15#21#colonel rodriguez#julian aymes#ralph smart#december 18 , 1960
1 - 16#29#the island#pennington richards#brian clemens and ralph smart#january 1 , 1961
1 - 17#3#find and return#seth holt#jo eisinger#january 8 , 1961
1 - 18#34#the girl who liked gi 's#michael truman#marc brandel and ralph smart#january 15 , 1961
1 - 19#31#name , date and place#charles frend#ralph smart and john roddick#january 22 , 1961
1 - 20#37#vacation#patrick mcgoohan#ralph smart#january 29 , 1961
1 - 21#30#the conspirators#michael truman#ralph smart and john roddick#february 5 , 1961
1 - 22#33#the honeymooners#charles frend#ralph smart and lewis davidson#april 2 , 1961
1 - 23#36#the gallows tree#michael truman#ralph smart and marc brandel#april 9 , 1961
1 - 24#22#the relaxed informer#anthony bushell#ralph smart and robert stewart#april 16 , 1961
1 - 25#20#the brothers#charles frend#ralph smart#april 23 , 1961
1 - 26#6#the journey ends halfway#clive donner#ian stuart black#april 30 , 1961
1 - 27#11#bury the dead#clive donner#ralph smart , story by brian clemens#may 7 , 1961
1 - 28#13#sabotage#peter graham scott#michael pertwee and ian stuart black#may 14 , 1961
1 - 29#27#the contessa#terry bishop#john roddick and ralph smart#may 21 , 1961
1 - 30#32#the leak#anthony bushell#ralph smart and brian clemens#may 28 , 1961
1 - 31#38#the trap#pennington richards#ralph smart and john roddick#june 4 , 1961
1 - 32#39#the actor#michael truman#marc brandel#june 11 , 1961
1 - 33#35#hired assassin#charles frend#ralph smart and john roddick#june 18 , 1961
1 - 34#19#the deputy coyannis story#peter graham scott#jo eisinger#december 16 , 1961
1 - 35#23#find and destroy#charles frend#ralph smart and john roddick#december 23 , 1961
1 - 36#5#under the lake#seth holt#jack whittingham#december 30 , 1961
1 - 37#15#the nurse#peter graham scott#ralph smart and brian clemens#january 6 , 1962
1 - 38#26#dead man walks#charles frend#ralph smart and brian clemens#january 13 , 1962
