rank#year#name#moving from#moving to
1#2007#nery castillo#olympiacos#shakhtar donetsk
2#2007#willian#corinthians#shakhtar donetsk
3#2004#matuzalém#brescia#shakhtar donetsk
4#2007#ilsinho#são paulo#shakhtar donetsk
5#2008#marcelo moreno#cruzeiro#shakhtar donetsk
6#2007#cristiano lucarelli#livorno#shakhtar donetsk
7#2005#fernandinho#atlético paranaense#shakhtar donetsk
8#2005#elano#santos#shakhtar donetsk
9#2007#pape diakhaté#nancy#dynamo kyiv
10#2007#ismaël bangoura#le mans#dynamo kyiv
