res#record#opponent#method#event#round#time#location
loss#32 - 26 - 2#will campuzano#decision (split)#vale tudo japan - vtj 3rd#3#5:00#tokyo , japan
win#32 - 25 - 2#taylor mccorriston#submission (heel hook)#vale tudo japan - vtj 2nd#2#2:34#tokyo , japan
win#31 - 25 - 2#rumina sato#tko (punches & elbows)#vale tudo japan 2012#1#0:39#tokyo , japan
loss#30 - 25 - 2#yusup saadulaev#ko (slam)#dream : fight for japan#1#0:42#saitama , japan
loss#30 - 24 - 2#antonio banuelos#decision (split)#dream 17#3#5:00#saitama , japan
win#30 - 23 - 2#masakazu imanari#decision (unanimous)#dream : japan gp final#2#5:00#tokyo , japan
win#29 - 23 - 2#atsushi yamamoto#decision (split)#dream : fight for japan#2#5:00#saitama , japan
win#28 - 23 - 2#yoshiro maeda#tko (corner stoppage)#dream : fight for japan#2#0:43#saitama , japan
win#27 - 23 - 2#kazuhisa watanabe#submission (armbar)#dynamite!! 2010#3#2:50#saitama , japan
loss#26 - 23 - 2#joachim hansen#submission (triangle choke)#dream 16#1#2:48#nagoya , japan
loss#26–22–2#akiyo nishiura#tko (punches)#dream 14#1#2:51#saitama , japan
win#26–21–2#kim jong - man#decision (unanimous)#dynamite!! 2009#3#5:00#saitama , japan
loss#25–21–2#hiroyuki takaya#tko (punches)#dream 11#2#0:32#yokohama , japan
win#25–20–2#abel cullum#submission (rear - naked choke)#dream 9#2#1:38#yokohama , japan
loss#24–20–2#daiki hata#decision (unanimous)#dream 8#2#5:00#nagoya , japan
loss#24–19–2#daisuke nakamura#submission (armbar)#dynamite!! 2008#1#2:23#saitama , japan
loss#24–18–2#atsushi yamamoto#decision (unanimous)#dream 6#2#5:00#saitama , japan
win#24–17–2#takeshi yamazaki#decision (unanimous)#dream 5#2#5:00#osaka , japan
win#23–17–2#darren uyenoyama#decision (unanimous)#dream 4#2#5:00#yokohama , japan
loss#22–17–2#kiyoshi tamura#submission (kimura)#k - 1 premium 2007 dynamite!#3#3:08#osaka , japan
win#22–16–2#wataru inatsu#submission (armbar)#zst 15: fifth anniversary#1#1:35#tokyo , japan
loss#21–16–2#kultar gill#tko (punches)#hero 's 9#1#4:47#yokohama , japan
win#21–15–2#brad pickett#submission (armbar)#k - 1 hero 's : dynamite!! usa#1#2:41#los angeles , california
win#20–15–2#kazuya yasuhiro#submission (armbar)#hero 's 8#1#3:00#nagoya , japan
win#19–15–2#royler gracie#decision (unanimous)#k - 1: premium 2006 dynamite!#3#5:00#osaka , japan
win#18–15–2#ken kaneko#submission (armbar)#hero 's 7#1#1:50#tokyo , japan
loss#17–15–2#ivan menjivar#decision (majority)#hero 's 6#2#5:00#tokyo , japan
loss#17–14–2#kultar gill#ko (knee)#hero 's 5#1#0:43#tokyo , japan
win#17–13–2#yoshinori ikeda#submission (triangle choke)#hero 's 4#1#0:49#tokyo , japan
loss#16–13–2#erikas petraitis#ko (knee)#zst 9#2#4:03#tokyo , japan
draw#16–12 - 2#royce gracie#draw#k - 1: premium 2005 dynamite!#2#10:00#osaka , japan
win#16–12 - 1#gabe lemley#submission (triangle choke)#k - 1 world max 2005 champions challenge#1#1:12#tokyo , japan
loss#15–12 - 1#caol uno#decision (unanimous)#hero 's 3#2#5:00#tokyo , japan
win#15–11 - 1#alexandre franca nogueira#ko (spinning back fist)#hero 's 2#3#0:08#tokyo , japan
win#14–11 - 1#erikas petraitis#decision#shooto lithuania : chaosas#n / a#n / a#vilnius , lithuania
loss#13 - 11 - 1#masahiro oishi#decision (split)#zst : grand prix 2 final round#3#3:00#tokyo , japan
loss#13–10 - 1#darius skliaudys#decision#shooto lithuania : bushido#2#5:00#vilnius , lithuania
win#13–9 - 1#shuichiro katsumura#submission (guillotine choke)#zst : grand prix 2 opening round#1#0:38#tokyo , japan
loss#12–9 - 1#naoyuki kotani#submission (heel hook)#zst 6#1#1:44#tokyo , japan
win#12–8 - 1#shinya sato#submission (triangle choke)#zst : battle hazard 1#1#3:23#tokyo , japan
win#11–8 - 1#remigijus morkevicius#submission (triangle choke)#zst 5#1#3:30#tokyo , japan
win#10–8 - 1#erikas petraitis#submission (rear - naked choke)#shooto lithuania : vendetta#2#3:40#vilnius , lithuania
loss#9–8 - 1#tomomi iwama#tko (head kicks)#zst : grand prix final round#1#0:53#tokyo , japan
win#9–7 - 1#masahiro oishi#submission (armbar)#zst : grand prix opening round#1#3:13#tokyo , japan
win#8–7 - 1#taiyo nakahara#submission (armbar)#zst : the battlefield 4#1#4:56#tokyo , japan
loss#7–7 - 1#remigijus morkevicius#ko (knees)#zst : the battlefield 3#1#2:54#tokyo , japan
loss#7–6 - 1#antanas jazbutis#decision (1–0 points)#rings lithuania 7#2#5:00#vilnius , lithuania
win#7–5 - 1#hidehiko matsumoto#decision (split)#zst : the battlefield 2#2#5:00#tokyo , japan
win#6–5 - 1#atsuhiro tsuboi#submission (armbar)#zst : the battlefield 1#2#4:09#tokyo , japan
win#5–5 - 1#masaya takita#tko (cut)#gcm : demolition 020908#1#1:41#japan
win#4–5 - 1#takumi yano#decision (unanimous)#premium challenge#1#10:00#tokyo , japan
draw#3 - 5 - 1#miki shida#draw (time limit)#pancrase : spirit 2#2#5:00#osaka , japan
loss#3–5#naoyuki kotani#decision (majority)#rings : battle genesis vol. 8#3#5:00#tokyo , japan
loss#3–4#takayuki yamamoto#tko#titan fighting championship 4#1#3:50#tokyo , japan
win#3–3#akira nitagai#submission (heel hook)#titan fighting championship 4#1#5:12#tokyo , japan
win#2–3#sumio koyano#tko#titan fighting championship 4#1#0:56#tokyo , japan
loss#1–3#masashi suzuki#tko (punches)#titan fighting championship 3#1#1:57#tokyo , japan
loss#1–2#yuji hisamatsu#tko (punches)#titan fighting championship 2#1#0:56#tokyo , japan
win#1–1#wataru yoshikawa#submission (armbar)#titan fighting championship 2#1#2:19#tokyo , japan
loss#0–1#naoto ichikawa#submission (rear - naked choke)#titan fighting championship 1#2#3:59#tokyo , japan
