position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#real murcia#38#54 + 16#24#6#8#61#26#+ 35
2#elche cf#38#50 + 12#20#10#8#48#28#+ 20
3#racing de santander#38#48 + 10#20#8#10#41#37#+ 4
4#sevilla cf#38#44 + 6#16#12#10#45#29#+ 16
5#real valladolid#38#42 + 4#15#12#11#42#32#+ 10
6#cd san andrés#38#40 + 2#14#12#12#49#51#- 2
7#cádiz cf#38#39 + 1#14#11#13#51#45#+ 6
8#baracaldo cf#38#39 + 1#14#11#13#43#48#- 5
9#hércules cf#38#39 + 1#16#7#15#42#39#+ 3
10#rcd mallorca#38#39 + 1#15#9#14#37#33#+ 4
11#rayo vallecano#38#37 - 1#15#7#16#58#50#+ 8
12#cd sabadell#38#36 - 2#12#12#14#45#50#- 5
13#córdoba cf#38#35 - 3#13#9#16#45#46#- 1
14#cd tenerife#38#35 - 3#13#9#16#36#38#- 2
15#ca osasuna#38#34 - 4#13#8#17#32#49#- 17
16#gimnástico de tarragona#38#33 - 5#12#9#17#35#48#- 13
17#cd logroñés#38#30 - 8#8#14#16#40#48#- 8
18#pontevedra cf#38#30 - 8#10#10#18#37#50#- 13
19#cultural leonesa#38#30 - 8#10#10#18#37#53#- 16
20#cd mestalla#38#26 - 12#6#14#18#29#53#- 24
