position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#deportivo de la coruña#30#43#18#7#5#53#19#+ 34
2#celta de vigo#30#39#17#5#8#54#28#+ 26
3#real gijón#30#36#15#6#9#67#50#+ 17
4#real oviedo#30#34#13#8#9#38#22#+ 16
5#burgos cf#30#32#13#6#11#42#41#+ 1
6#sd indauchu#30#32#14#4#12#47#47#0
7#cd condal#30#32#14#4#12#55#46#+ 9
8#real santander#30#31#11#9#10#38#40#- 2
9#ca osasuna#30#31#13#5#12#39#41#- 2
10#real sociedad#30#31#13#5#12#50#48#+ 2
11#ud lérida#30#30#10#10#10#37#31#+ 6
12#cf badalona#30#30#13#4#13#32#41#- 9
13#up langreo#30#23#10#3#17#37#58#- 21
14#cd europa#30#23#9#5#16#33#49#- 16
15#cd hospitalet#30#19#9#1#20#37#63#- 26
16#baracaldo ah#30#14#5#4#21#24#59#- 35
