date#name#party#province#details
february 1 , 2006#shirley maheu 1#liberal#quebec#died
april 22 , 2006#john buchanan#conservative#nova scotia#reached mandatory retirement age of 75
april 28 , 2006#marisa ferretti barth#liberal#quebec#reached mandatory retirement age of 75
june 8 , 2006#michael forrestall#conservative#nova scotia#died
september 21 , 2006#madeleine plamondon#independent#quebec#reached mandatory retirement age of 75
october 31 , 2006#michael kirby#liberal#nova scotia#resigned to move on to new challenges
december 31 , 2006#ione jean christensen#liberal#yukon#resigned to assist her ailing husband
march 2 , 2007#jack austin#liberal#british columbia#reached mandatory retirement age of 75
june 30 , 2007#daniel philip hays#liberal#alberta#resigned
january 31 , 2008#pat carney#conservative#british columbia#resigned
february 4 , 2008#ross fitzpatrick#liberal#british columbia#reached mandatory retirement age of 75
august 26 , 2008#aurelien gill#liberal#quebec#reached mandatory retirement age of 75
september 8 , 2008#michael fortier#conservative#quebec#resigned to run in 2008 election
