athlete#nationality#2.15#2.20#2.24#2.27#result
artur partyka#poland#o#-#o#-#2.34
dalton grant#great britain#xo#o#-#x -#2.34
sergey klyugin#russia#-#o#o#o#2.32
martin buß#germany#-#o#o#o#2.32
dimitrios kokotis#greece#-#o#-#o#2.30
steinar hoen#norway#-#xo#xo#o#2.30
stefan holm#sweden#-#o#xo#o#2.27
staffan strand#sweden#-#o#-#xxo#2.27
dragutin topić#yugoslavia#-#o#o#-#2.24
brendan reilly#great britain#-#-#o#xx -#2.24
christian rhoden#germany#o#xo#o#xxx#2.24
tomáš janků#czech republic#o#o#xo#xxx#2.24
