year ended#passengers flown#employees (average / year)#net profit / loss (sek)#basic eps (sek)
2010#25200 , 000#14801#- 2218 , 000000#- 7.79
2009#24900 , 000#18786#- 2947 , 000000#- 18.20
2008#29000 , 000#24635#- 6360 , 000000#- 6.29
2007#29200 , 000#26538#1234 , 000000#3.87
2006#38609 , 000#26554#4936 , 000000#28.10
2005#36312 , 000#32363#418000 , 000#1.06
2004#32400 , 000#32481#- 1813 , 000000#- 11.38
2003#31004 , 000#34544#- 2221 , 000000#- 8.60
2002#33254 , 000#35506#- 736000 , 000#- 0.81
2001#35640 , 000#31035#- 1140 , 000000#- 6.58
2000#23240 , 000#30939#2273 , 000000#11.79
1999#21991 , 000#30310#1846 , 000000#8.41
