name#height#weight#spike#2008 club
marcus popp #m ()#kg (lb)#cm (in)#marmi lanza verona
simon tischer #m ()#kg (lb)#cm (in)#iraklis
björn andrae #m ()#kg (lb)#cm (in)#azs olsztyn
mark siebeck #m ()#kg (lb)#cm (in)#halkbank ankara
marcus böhme #m ()#kg (lb)#cm (in)#scc berlin
stefan hübner #m ()#kg (lb)#cm (in)#sisley treviso
jochen schöps #m ()#kg (lb)#cm (in)#iskra odintsovo
frank dehne #m ()#kg (lb)#cm (in)#marmi lanza verona
christian pampel #m ()#kg (lb)#cm (in)#gazprom - jugra surgut
ralph bergmann #m ()#kg (lb)#cm (in)#moerser sc
robert kromm #m ()#kg (lb)#cm (in)#sempre volley
thomas kröger #m ()#kg (lb)#cm (in)#vfb friedrichshafen
